SYMBOL,DATE1,AVG_PRICE,DELIV_QTY,DELIV_PER,CLOSE_PRICE,NO_OF_TRADES,TTL_TRD_QNTY,TURNOVER_LACS,amount
20MICRONS,23-Jun-2025,222.78,44247,50.77,222.91,2658,87153,194.16,9857346.66
21STCENMGM,23-Jun-2025,65.39,3401,93.79,65.04,98,3626,2.37,222391.39
360ONE,23-Jun-2025,1148.95,238786,52.57,1157.45,18949,454188,5218.38,274353174.7
3IINFOLTD,23-Jun-2025,24.43,145822,40.54,24.58,2073,359693,87.88,3562431.46
3MINDIA,23-Jun-2025,28435.1,940,58.24,28390.0,836,1614,458.94,26728994.0
3PLAND,23-Jun-2025,50.8,4607,73.52,50.88,197,6266,3.18,234035.59999999998
5PAISA,23-Jun-2025,388.43,14900,46.98,392.7,2546,31716,123.19,5787607.0
63MOONS,23-Jun-2025,882.72,198036,47.10,875.4,16232,420473,3711.6,174810337.92000002
AAATECH,23-Jun-2025,83.8,3946,68.38,84.23,572,5771,4.84,330674.8
AADHARHFC,23-Jun-2025,443.01,157032,51.43,442.9,14261,305306,1352.55,69566746.32
AAKASH,23-Jun-2025,13.04,2011411,27.75,13.32,12746,7247963,945.08,26228799.439999998
AARON,23-Jun-2025,380.08,13981,61.85,375.7,1454,22604,85.91,5313898.4799999995
AARTECH,23-Jun-2025,67.98,73603,51.21,69.59,2839,143734,97.71,5003531.94
AARTIDRUGS,23-Jun-2025,434.26,42913,43.37,432.9,6403,98950,429.7,18635399.38
AARTIIND,23-Jun-2025,442.99,257760,36.08,445.15,15440,714324,3164.36,114185102.4
AARTIPHARM,23-Jun-2025,863.94,81540,48.72,872.95,13323,167371,1445.98,70445667.60000001
AARVI,23-Jun-2025,109.69,2086,42.15,108.6,286,4949,5.43,228813.34
AAVAS,23-Jun-2025,1839.17,44897,48.14,1839.3,14600,93255,1715.12,82573215.49000001
ABAN,23-Jun-2025,58.37,144706,47.34,59.08,4955,305678,178.44,8446489.219999999
ABB,23-Jun-2025,5925.49,31538,35.64,5923.5,15679,88496,5243.82,186878103.62
ABBOTINDIA,23-Jun-2025,31088.89,3187,47.72,31050.0,3327,6678,2076.12,99080292.42999999
ABCAPITAL,23-Jun-2025,263.95,2738920,30.40,264.62,67203,9009789,23781.75,722937934.0
ABDL,23-Jun-2025,427.26,195174,47.50,430.7,11941,410898,1755.61,83390043.24
ABFRL,23-Jun-2025,74.25,2075286,36.86,74.67,22748,5630390,4180.75,154089985.5
ABGSEC,23-Jun-2025,109.49,347,84.84,109.91,16,409,0.45,37993.03
ABMINTLLTD,23-Jun-2025,48.1,943,85.57,48.37,29,1102,0.53,45358.3
ABREL,23-Jun-2025,2395.75,63977,39.72,2398.0,15453,161088,3859.26,153272897.75
ABSLAMC,23-Jun-2025,754.0,43357,51.79,756.6,7610,83712,631.19,32691178.0
ABSLBANETF,23-Jun-2025,56.83,4671,58.75,56.83,286,7950,4.52,265452.93
ABSLLIQUID,23-Jun-2025,1000.0,1188,63.97,999.99,25,1857,18.57,1188000.0
ABSLNN50ET,23-Jun-2025,69.41,9978,75.75,69.69,333,13172,9.14,692572.98
ABSLPSE,23-Jun-2025,10.1,127710,75.47,10.13,713,169226,17.09,1289871.0
ACC,23-Jun-2025,1820.9,103422,35.69,1817.2,15470,289791,5276.8,188321119.8
ACCELYA,23-Jun-2025,1382.55,2618,46.52,1394.2,1762,5628,77.81,3619515.9
ACCURACY,23-Jun-2025,8.98,648216,42.30,9.23,4114,1532245,137.61,5820979.680000001
ACE,23-Jun-2025,1168.91,53370,45.42,1167.1,13107,117494,1373.4,62384726.7
ACEINTEG,23-Jun-2025,24.96,7019,68.42,24.92,180,10259,2.56,175194.24000000002
ACI,23-Jun-2025,620.53,68159,43.28,619.65,10840,157498,977.32,42294704.269999996
ACL,23-Jun-2025,66.42,19727,68.04,66.73,638,28994,19.26,1310267.34
ACLGATI,23-Jun-2025,65.26,41509,30.19,65.44,2324,137486,89.72,2708877.3400000003
ACMESOLAR,23-Jun-2025,246.86,119605,16.98,245.6,16254,704218,1738.41,29525690.3
ACUTAAS,23-Jun-2025,1098.26,195439,68.20,1097.6,24522,286549,3147.07,214642836.14
ADANIENSOL,23-Jun-2025,835.01,322997,29.93,837.2,28146,1079104,9010.63,269705724.96999997
ADANIENT,23-Jun-2025,2467.7,200455,25.36,2472.0,34421,790535,19508.03,494662803.49999994
ADANIGREEN,23-Jun-2025,954.64,411942,23.83,960.5,38583,1728394,16499.96,393256310.88
ADANIPORTS,23-Jun-2025,1352.37,2350028,59.93,1354.8,60607,3921155,53028.65,3178107366.3599997
ADANIPOWER,23-Jun-2025,536.34,814133,26.72,538.0,49931,3046939,16342.03,436652093.22
ADFFOODS,23-Jun-2025,273.49,32082,28.56,275.34,6123,112313,307.16,8774106.18
ADOR,23-Jun-2025,995.8,5745,55.29,1002.5,1108,10391,103.47,5720871.0
ADROITINFO,23-Jun-2025,11.02,9639,13.44,10.92,1618,71729,7.9,106221.78
ADSL,23-Jun-2025,177.19,74722,46.61,177.41,4128,160315,284.06,13239991.18
ADVANIHOTR,23-Jun-2025,59.84,29602,67.30,59.74,986,43986,26.32,1771383.6800000002
ADVENZYMES,23-Jun-2025,333.75,108326,33.70,336.55,12483,321464,1072.9,36153802.5
AEGISLOG,23-Jun-2025,783.72,85873,28.50,785.6,12219,301300,2361.36,67300387.56
AEGISVOPAK,23-Jun-2025,244.67,1057999,67.10,245.66,30846,1576791,3858.0,258860615.32999998
AEROFLEX,23-Jun-2025,206.45,2032901,8.99,204.5,146536,22619602,46699.2,419692411.45
AETHER,23-Jun-2025,765.48,44513,54.91,764.15,7408,81072,620.59,34073811.24
AFCONS,23-Jun-2025,435.3,781758,54.82,435.4,36980,1425984,6207.33,340299257.40000004
AFFLE,23-Jun-2025,1904.62,138214,62.07,1902.6,18305,222679,4241.2,263245148.67999998
AFFORDABLE,23-Jun-2025,466.89,6641,41.76,468.75,1306,15902,74.25,3100616.4899999998
AFIL,23-Jun-2025,7.39,677233,50.27,7.43,2412,1347177,99.62,5004751.87
AFSL,23-Jun-2025,239.09,56705,62.03,244.33,2725,91417,218.56,13557598.450000001
AGARIND,23-Jun-2025,963.35,5607,56.75,962.4,1120,9881,95.19,5401503.45
AGARWALEYE,23-Jun-2025,394.01,153169,42.98,392.55,17338,356388,1404.21,60350117.69
AGI,23-Jun-2025,778.69,54385,50.89,778.0,9020,106873,832.21,42349055.650000006
AGIIL,23-Jun-2025,959.2,270893,32.14,987.95,38016,842924,8085.32,259840565.60000002
AGRITECH,23-Jun-2025,150.88,5504,62.50,150.11,562,8806,13.29,830443.52
AGROPHOS,23-Jun-2025,34.49,22466,44.84,34.36,713,50099,17.28,774852.3400000001
AHLADA,23-Jun-2025,70.54,33938,54.72,69.4,1999,62021,43.75,2393986.52
AHLEAST,23-Jun-2025,145.83,6433,85.70,145.02,177,7506,10.95,938124.3900000001
AHLUCONT,23-Jun-2025,940.32,38168,32.51,943.1,12002,117401,1103.95,35890133.760000005
AIAENG,23-Jun-2025,3303.47,16110,62.77,3299.5,9567,25667,847.9,53218901.699999996
AIIL,23-Jun-2025,2597.47,64297,40.00,2599.8,14127,160739,4175.15,167009528.58999997
AIRAN,23-Jun-2025,29.16,74853,55.77,29.19,1412,134210,39.14,2182713.48
AIROLAM,23-Jun-2025,109.52,5905,40.01,110.75,502,14759,16.16,646715.6
AJANTPHARM,23-Jun-2025,2562.53,47348,65.66,2564.9,15803,72113,1847.92,121330670.44000001
AJAXENGG,23-Jun-2025,598.07,53110,48.35,596.05,6454,109849,656.97,31763497.700000003
AJMERA,23-Jun-2025,950.33,13477,45.00,945.55,2949,29950,284.62,12807597.41
AJOONI,23-Jun-2025,5.54,163044,72.23,5.58,600,225740,12.51,903263.76
AKASH,23-Jun-2025,28.0,7999,55.96,28.32,267,14293,4.0,223972.0
AKG,23-Jun-2025,13.44,11175,24.28,13.27,493,46034,6.19,150192.0
AKSHARCHEM,23-Jun-2025,248.46,1045,48.76,251.3,286,2143,5.32,259640.7
AKSHOPTFBR,23-Jun-2025,8.93,94976,70.85,8.94,507,134047,11.97,848135.6799999999
AKUMS,23-Jun-2025,537.54,77890,56.84,534.95,7623,137033,736.61,41868990.599999994
AKZOINDIA,23-Jun-2025,3202.25,15972,37.73,3261.6,8414,42331,1355.54,51146337.0
ALANKIT,23-Jun-2025,14.45,173555,54.82,14.37,1755,316608,45.74,2507869.75
ALBERTDAVD,23-Jun-2025,842.76,3010,60.58,838.75,662,4969,41.88,2536707.6
ALEMBICLTD,23-Jun-2025,110.33,109239,32.76,110.46,4870,333488,367.95,12052338.87
ALICON,23-Jun-2025,868.04,1804,41.99,868.0,874,4296,37.29,1565944.16
ALIVUS,23-Jun-2025,993.66,11857,31.84,998.2,5104,37240,370.04,11781826.62
ALKALI,23-Jun-2025,98.38,3876,22.59,97.76,770,17158,16.88,381320.88
ALKEM,23-Jun-2025,4777.59,36545,42.99,4760.0,9819,85004,4061.14,174597026.55
ALKYLAMINE,23-Jun-2025,2126.33,77827,12.12,2159.6,60800,642353,13658.53,165485884.91
ALLCARGO,23-Jun-2025,33.73,1226700,36.42,33.32,14817,3367897,1136.07,41376590.99999999
ALLDIGI,23-Jun-2025,915.01,4712,57.79,916.75,1607,8154,74.61,4311527.12
ALMONDZ,23-Jun-2025,20.11,92701,64.08,20.06,894,144669,29.09,1864217.1099999999
ALOKINDS,23-Jun-2025,19.06,1989049,32.59,19.22,9205,6102434,1163.24,37911273.94
ALPA,23-Jun-2025,98.04,6362,69.62,98.15,380,9138,8.96,623730.4800000001
ALPHA,23-Jun-2025,50.33,628699,60.34,50.55,4382,1041970,524.41,31642420.669999998
ALPHAETF,23-Jun-2025,25.25,411339,66.89,25.36,1470,614973,155.25,10386309.75
ALPHAGEO,23-Jun-2025,274.27,2906,56.44,275.15,414,5149,14.12,797028.62
ALPL30IETF,23-Jun-2025,27.42,595881,80.84,27.4,2510,737090,202.1,16339057.020000001
AMBER,23-Jun-2025,6626.31,89223,32.50,6681.5,37387,274567,18193.66,591219257.13
AMBICAAGAR,23-Jun-2025,28.15,9840,60.86,28.7,625,16169,4.55,276996.0
AMBIKCO,23-Jun-2025,1503.86,4071,62.47,1506.9,1023,6517,98.01,6122214.06
AMBUJACEM,23-Jun-2025,536.19,558108,55.15,535.55,16404,1012046,5426.48,299251928.52000004
AMDIND,23-Jun-2025,49.47,1273,42.17,49.48,101,3019,1.49,62975.31
AMJLAND,23-Jun-2025,62.91,52812,46.97,62.59,2074,112427,70.72,3322402.92
AMNPLST,23-Jun-2025,235.54,2726,37.30,235.94,1514,7308,17.21,642082.0399999999
AMRUTANJAN,23-Jun-2025,726.68,10630,55.91,730.15,3697,19012,138.16,7724608.399999999
ANANDRATHI,23-Jun-2025,2082.18,46581,53.96,2092.8,10468,86328,1797.5,96990026.58
ANANTRAJ,23-Jun-2025,516.4,898147,44.13,518.8,55305,2035064,10509.15,463803110.79999995
ANDHRAPAP,23-Jun-2025,77.14,47679,45.85,77.32,2058,103983,80.21,3677958.06
ANDHRSUGAR,23-Jun-2025,74.09,155332,55.13,74.02,2081,281757,208.74,11508547.88
ANGELONE,23-Jun-2025,2884.43,202466,17.12,2935.0,72519,1182629,34112.16,583999004.38
ANIKINDS,23-Jun-2025,108.24,3465,79.53,108.64,142,4357,4.72,375051.6
ANMOL,23-Jun-2025,17.49,22449,19.83,17.32,3539,113205,19.79,392633.00999999995
ANTGRAPHIC,23-Jun-2025,1.23,253047,45.16,1.23,460,560313,6.9,311247.81
ANUHPHR,23-Jun-2025,204.86,23756,52.02,203.7,1799,45671,93.56,4866654.16
ANUP,23-Jun-2025,2576.98,21040,49.49,2583.6,9819,42511,1095.5,54219659.2
ANURAS,23-Jun-2025,1140.64,42679,49.78,1143.2,5777,85732,977.89,48681374.56
AONELIQUID,23-Jun-2025,1013.62,36347,89.29,1013.61,158,40707,412.61,36842046.14
AONENIFTY,23-Jun-2025,10.17,117837,74.99,10.16,1654,157147,15.98,1198402.29
AONETOTAL,23-Jun-2025,11.57,267696,43.45,11.57,3103,616166,71.3,3097242.72
APARINDS,23-Jun-2025,7859.68,15304,38.84,7848.5,12012,39402,3096.87,120284542.72
APCL,23-Jun-2025,136.96,19664,74.65,139.47,419,26343,36.08,2693181.44
APCOTEXIND,23-Jun-2025,384.18,20095,53.87,385.8,2657,37304,143.32,7720097.100000001
APEX,23-Jun-2025,230.24,32129,58.13,228.41,2680,55275,127.26,7397380.96
APLAPOLLO,23-Jun-2025,1792.05,139239,42.50,1792.1,30947,327609,5870.91,249523249.95
APLLTD,23-Jun-2025,931.59,70919,52.14,939.6,10703,136018,1267.12,66067431.21
APOLLO,23-Jun-2025,208.63,6429326,36.16,214.0,109738,17780186,37094.94,1341350283.3799999
APOLLOHOSP,23-Jun-2025,7019.48,71034,51.71,7007.5,20042,137379,9643.3,498621742.32
APOLLOPIPE,23-Jun-2025,422.69,50604,41.46,420.4,5130,122060,515.93,21389804.76
APOLLOTYRE,23-Jun-2025,440.59,266685,40.98,443.5,25877,650748,2867.14,117498744.14999999
APOLSINHOT,23-Jun-2025,1262.82,363,45.04,1261.8,180,806,10.18,458403.66
APTUS,23-Jun-2025,313.06,355419,58.16,314.25,14782,611109,1913.16,111267472.14
ARCHIDPLY,23-Jun-2025,104.88,3581,64.66,104.65,230,5538,5.81,375575.27999999997
