SYMBOL,DATE1,AVG_PRICE,DELIV_QTY,DELIV_PER,CLOSE_PRICE,NO_OF_TRADES,TTL_TRD_QNTY,TURNOVER_LACS,amount
20MICRONS,02-Jun-2025,221.68,122264,52.14,222.35,5981,234470,519.77,27103483.52
21STCENMGM,02-Jun-2025,69.59,5640,100.00,69.59,59,5640,3.92,392487.60000000003
360ONE,02-Jun-2025,1022.79,462838,62.76,1019.5,42900,737518,7543.28,473386078.02
3IINFOLTD,02-Jun-2025,25.36,273587,38.80,25.18,2754,705090,178.82,6938166.32
3MINDIA,02-Jun-2025,29213.77,1642,57.96,29295.0,2071,2833,827.63,47969010.34
3PLAND,02-Jun-2025,51.54,26932,87.26,52.16,498,30863,15.91,1388075.28
5PAISA,02-Jun-2025,415.24,26901,59.75,418.9,3105,45022,186.95,11170371.24
63MOONS,02-Jun-2025,867.8,78673,43.55,863.85,7833,180666,1567.81,68272429.39999999
AAATECH,02-Jun-2025,87.79,19716,56.69,87.66,672,34780,30.53,1730867.6400000001
AADHARHFC,02-Jun-2025,443.98,81680,49.55,441.95,7780,164844,731.87,36264286.4
AAKASH,02-Jun-2025,8.34,86616,72.50,8.35,455,119463,9.97,722377.44
AARON,02-Jun-2025,392.11,5479,40.81,391.55,1491,13426,52.64,2148370.69
AARTECH,02-Jun-2025,57.73,18629,72.08,57.32,590,25844,14.92,1075452.17
AARTIDRUGS,02-Jun-2025,465.92,168919,41.58,468.95,19913,406290,1893.0,78702740.48
AARTIIND,02-Jun-2025,468.34,298028,39.45,470.65,13441,755485,3538.27,139578433.51999998
AARTIPHARM,02-Jun-2025,905.46,165256,45.44,890.25,25215,363705,3293.19,149632697.76000002
AARVI,02-Jun-2025,115.95,5293,62.88,115.38,373,8418,9.76,613723.35
AAVAS,02-Jun-2025,1796.28,134611,62.68,1802.3,27077,214743,3857.39,241799047.07999998
ABAN,02-Jun-2025,46.59,55733,50.38,46.95,2381,110619,51.54,2596600.47
ABB,02-Jun-2025,5945.09,74612,46.92,5974.5,23545,159034,9454.72,443575055.08
ABBOTINDIA,02-Jun-2025,30660.33,5022,53.00,30605.0,3565,9476,2905.37,153976177.26000002
