SYMBOL,DATE1,AVG_PRICE,DELIV_QTY,DELIV_PER,CLOSE_PRICE,NO_OF_TRADES,TTL_TRD_QNTY,TURNOVER_LACS,amount
20MICRONS,17-Jun-2025,239.88,152089,40.54,236.99,9389,375161,899.93,36483109.32
21STCENMGM,17-Jun-2025,64.84,2749,68.04,64.25,260,4040,2.62,178245.16
360ONE,17-Jun-2025,1155.09,499296,55.80,1146.2,48149,894802,10335.76,576731816.64
3IINFOLTD,17-Jun-2025,26.15,314828,31.22,25.6,5295,1008482,263.7,8232752.199999999
3MINDIA,17-Jun-2025,29014.3,1003,52.32,28970.0,944,1917,556.2,29101342.9
3PLAND,17-Jun-2025,54.51,6815,52.96,54.96,427,12869,7.02,371485.64999999997
5PAISA,17-Jun-2025,402.25,10434,53.69,399.45,2139,19434,78.17,4197076.5
63MOONS,17-Jun-2025,937.46,215736,44.84,916.7,15404,481155,4510.65,202243870.56
AAATECH,17-Jun-2025,84.33,27942,62.29,84.87,1163,44856,37.83,2356348.86
AADHARHFC,17-Jun-2025,445.42,262536,74.57,445.7,14963,352043,1568.07,116938785.12
AAKASH,17-Jun-2025,9.05,314680,53.18,8.76,1992,591721,53.57,2847854.0
AARON,17-Jun-2025,397.88,1262,51.32,394.9,299,2459,9.78,502124.56
AARTECH,17-Jun-2025,70.27,200296,65.37,70.23,1878,306394,215.31,14074799.92
AARTIDRUGS,17-Jun-2025,456.65,76141,50.87,450.9,9744,149681,683.51,34769787.65
AARTIIND,17-Jun-2025,461.96,247687,25.16,455.6,24875,984471,4547.87,114421486.52
AARTIPHARM,17-Jun-2025,869.15,159265,48.26,859.2,22095,330021,2868.37,138425174.75
AARVI,17-Jun-2025,111.62,3665,56.46,112.27,400,6491,7.25,409087.3
AAVAS,17-Jun-2025,1832.67,30978,44.52,1823.3,10692,69577,1275.12,56772451.260000005
ABAN,17-Jun-2025,52.48,92858,67.37,51.27,1845,137832,72.34,4873187.84
ABB,17-Jun-2025,6050.92,30948,30.36,6034.5,14144,101944,6168.55,187263872.16
ABBOTINDIA,17-Jun-2025,31606.04,12583,85.56,31800.0,2030,14707,4648.3,397698801.32
ABCAPITAL,17-Jun-2025,252.89,5466597,41.77,255.11,75123,13086871,33094.86,1382447715.33
ABDL,17-Jun-2025,435.76,299140,53.52,434.25,14762,558919,2435.54,130353246.39999999
ABFRL,17-Jun-2025,74.85,1494521,39.64,74.7,14137,3769952,2821.91,111864896.85
ABGSEC,17-Jun-2025,109.57,25067,99.71,109.56,13,25139,27.54,2746591.19
ABMINTLLTD,17-Jun-2025,48.24,211,86.83,49.6,7,243,0.12,10178.640000000001
ABREL,17-Jun-2025,2508.27,58971,34.31,2470.4,23909,171867,4310.88,147915190.17
ABSLAMC,17-Jun-2025,769.32,99579,59.86,768.8,13776,166360,1279.84,76608116.28
ABSLBANETF,17-Jun-2025,56.5,170009,96.97,56.5,1064,175325,99.06,9605508.5
ABSLLIQUID,17-Jun-2025,1000.0,1147,61.01,1000.01,9,1880,18.8,1147000.0
ABSLNN50ET,17-Jun-2025,70.15,3317,72.06,69.88,285,4603,3.23,232687.55000000002
ABSLPSE,17-Jun-2025,10.14,69020,63.06,10.09,712,109444,11.1,699862.8
ACC,17-Jun-2025,1866.63,297007,54.49,1860.7,29351,545042,10173.89,554402176.4100001
ACCELYA,17-Jun-2025,1418.87,5127,61.93,1407.0,1715,8279,117.47,7274546.489999999
ACCURACY,17-Jun-2025,8.44,43902,60.93,8.39,687,72051,6.08,370532.88
ACE,17-Jun-2025,1195.63,93464,51.16,1188.3,19233,182684,2184.23,111748362.32000001
ACEINTEG,17-Jun-2025,27.75,4000,78.72,27.39,151,5081,1.41,111000.0
ACI,17-Jun-2025,627.89,47069,38.47,628.15,8184,122353,768.24,29554154.41
ACL,17-Jun-2025,67.67,8335,23.01,67.52,1976,36229,24.52,564029.4500000001
ACLGATI,17-Jun-2025,68.5,132130,46.19,67.82,3554,286053,195.96,9050905.0
ACMESOLAR,17-Jun-2025,247.03,415422,58.93,248.95,12855,704984,1741.54,102621696.66
ACUTAAS,17-Jun-2025,1096.84,81480,60.40,1096.5,20427,134891,1479.54,89370523.19999999
ADANIENSOL,17-Jun-2025,853.45,487693,39.10,848.85,30485,1247192,10644.18,416221590.85
ADANIENT,17-Jun-2025,2499.54,254292,36.15,2488.5,34502,703343,17580.34,635613025.68
ADANIGREEN,17-Jun-2025,985.79,446953,34.88,977.5,39592,1281462,12632.51,440601797.87
ADANIPORTS,17-Jun-2025,1397.88,602678,38.35,1392.3,46025,1571621,21969.44,842471522.6400001
ADANIPOWER,17-Jun-2025,562.55,708210,36.06,558.2,36648,1964035,11048.77,398403535.49999994
ADFFOODS,17-Jun-2025,289.17,96417,17.34,289.32,24730,556109,1608.1,27880903.89
ADOR,17-Jun-2025,999.09,2756,55.36,990.3,1006,4978,49.73,2753492.04
ADROITINFO,17-Jun-2025,11.01,25053,81.10,10.98,200,30891,3.4,275833.52999999997
ADSL,17-Jun-2025,185.64,70930,45.40,183.96,3751,156241,290.05,13167445.2
ADVANIHOTR,17-Jun-2025,61.64,14484,53.07,61.8,900,27291,16.82,892793.76
ADVENZYMES,17-Jun-2025,353.24,456927,18.82,343.5,55504,2427746,8575.86,161404893.48
AEGISLOG,17-Jun-2025,784.31,87548,32.51,784.3,10279,269260,2111.83,68664771.88
AEGISVOPAK,17-Jun-2025,238.88,248941,47.34,238.69,9010,525867,1256.2,59467026.08
AEROFLEX,17-Jun-2025,169.91,281016,49.19,167.54,8999,571303,970.72,47747428.56
AETHER,17-Jun-2025,791.7,66422,36.93,787.95,11834,179871,1424.04,52586297.400000006
AFCONS,17-Jun-2025,444.69,653656,59.64,445.05,36792,1095980,4873.76,290674286.64
AFFLE,17-Jun-2025,1942.9,86111,41.63,1941.3,16331,206861,4019.09,167305061.9
AFFORDABLE,17-Jun-2025,459.82,13528,39.38,456.3,2618,34355,157.97,6220444.96
AFIL,17-Jun-2025,7.85,876845,64.45,7.77,1225,1360598,106.77,6883233.25
AFSL,17-Jun-2025,237.98,58606,72.99,236.88,2757,80297,191.09,13947055.879999999
AGARIND,17-Jun-2025,982.89,10026,59.39,975.7,1794,16883,165.94,9854455.14
AGARWALEYE,17-Jun-2025,393.47,152187,50.86,395.0,13002,299206,1177.3,59881018.89
AGI,17-Jun-2025,819.35,30946,49.33,815.6,7812,62730,513.98,25355605.1
