SYMBOL,DATE1,AVG_PRICE,DELIV_QTY,DELIV_PER,CLOSE_PRICE,NO_OF_TRADES,TTL_TRD_QNTY,TURNOVER_LACS,amount
TECHNOE,27-Jun-2025,1588.86,271187,30.88,1591.6,58542,878103,13951.8,430878176.82
TEGA,27-Jun-2025,1509.82,14324,41.67,1508.1,5318,34372,518.96,21626661.68
TEJASNET,27-Jun-2025,719.6,317248,37.43,718.45,19660,847674,6099.89,228291660.8
TEXINFRA,27-Jun-2025,103.59,60414,42.39,103.29,2134,142514,147.63,6258286.26
TEXMOPIPES,27-Jun-2025,64.52,16112,44.28,64.23,668,36386,23.48,1039546.24
TEXRAIL,27-Jun-2025,177.66,1031892,27.62,178.51,28826,3735811,6636.88,183325932.72
TFCILTD,27-Jun-2025,234.62,348260,54.10,236.14,10895,643695,1510.24,81708761.2
TGBHOTELS,27-Jun-2025,12.46,22374,79.71,12.41,175,28069,3.5,278780.04000000004
THANGAMAYL,27-Jun-2025,1870.09,24894,56.07,1861.6,6044,44402,830.36,46554020.46
THEINVEST,27-Jun-2025,153.14,4001,46.04,153.14,460,8691,13.31,612713.1399999999
THEJO,27-Jun-2025,1817.14,1554,63.04,1805.8,618,2465,44.79,2823835.56
THELEELA,27-Jun-2025,407.22,164037,69.97,410.15,18422,234441,954.69,66799147.14000001
THEMISMED,27-Jun-2025,130.63,71452,51.99,129.66,3535,137427,179.52,9333774.76
THERMAX,27-Jun-2025,3409.8,207006,75.02,3347.8,35066,275946,9409.19,705849058.8000001
THOMASCOOK,27-Jun-2025,165.48,439435,38.96,162.32,19614,1127945,1866.55,72717703.8
THOMASCOTT,27-Jun-2025,401.91,133120,37.75,403.3,4183,352656,1417.37,53502259.2
THYROCARE,27-Jun-2025,1002.01,11771,49.28,996.7,4571,23886,239.34,11794659.709999999
TI,27-Jun-2025,352.12,289116,51.47,349.7,12797,561670,1977.74,101803525.92
TIIL,27-Jun-2025,3028.19,1941,36.44,3019.2,1598,5327,161.31,5877716.79
TIINDIA,27-Jun-2025,3071.92,389820,50.03,3082.1,64461,779151,23934.92,1197495854.4
TIJARIA,27-Jun-2025,8.51,62327,73.70,8.56,346,84574,7.2,530402.77
TIMESGTY,27-Jun-2025,177.06,2805,36.80,173.44,412,7623,13.5,496653.3
