SYMBOL,DATE1,AVG_PRICE,DELIV_QTY,DELIV_PER,CLOSE_PRICE,NO_OF_TRADES,TTL_TRD_QNTY,TURNOVER_LACS,amount
20MICRONS,25-Jun-2025,231.4,34933,52.66,231.61,2100,66339,153.51,8083496.2
21STCENMGM,25-Jun-2025,62.45,10887,97.41,62.45,125,11176,6.98,679893.15
360ONE,25-Jun-2025,1179.8,499295,56.79,1190.0,46493,879204,10372.88,589068241.0
3IINFOLTD,25-Jun-2025,25.79,268841,54.88,25.82,2843,489890,126.36,6933409.39
3MINDIA,25-Jun-2025,28540.31,3240,75.95,28500.0,985,4266,1217.53,92470604.4
3PLAND,25-Jun-2025,51.06,11672,79.85,50.44,364,14618,7.46,595972.3200000001
5PAISA,25-Jun-2025,412.58,22977,41.24,414.8,4185,55720,229.89,9479850.66
63MOONS,25-Jun-2025,1011.19,437076,37.58,1000.55,48460,1163119,11761.35,441966880.44
AAATECH,25-Jun-2025,85.54,12679,43.11,84.76,1594,29413,25.16,1084561.6600000001
AADHARHFC,25-Jun-2025,437.95,201601,54.72,441.5,14919,368423,1613.5,88291157.95
AARON,25-Jun-2025,376.11,2555,45.75,374.6,705,5585,21.01,960961.05
AARTECH,25-Jun-2025,71.98,188565,34.43,73.01,3363,547739,394.29,13572908.700000001
AARTIDRUGS,25-Jun-2025,446.18,124403,39.03,451.8,18181,318772,1422.31,55506130.54
AARTIIND,25-Jun-2025,468.75,722407,30.83,470.6,38935,2343302,10984.33,338628281.25
AARTIPHARM,25-Jun-2025,871.04,140081,43.71,866.5,21527,320445,2791.19,122016154.24
AARVI,25-Jun-2025,110.1,3953,68.47,110.03,225,5773,6.36,435225.3
AAVAS,25-Jun-2025,1902.07,26865,40.54,1881.2,10250,66272,1260.54,51099110.55
ABAN,25-Jun-2025,58.2,55252,58.60,57.68,2023,94281,54.87,3215666.4000000004
ABB,25-Jun-2025,5989.44,62181,44.75,5966.5,19525,138938,8321.6,372429368.64
ABBOTINDIA,25-Jun-2025,31631.77,2962,57.06,31680.0,1986,5191,1642.01,93693302.74
ABCAPITAL,25-Jun-2025,270.37,2953440,36.05,272.33,58333,8192361,22149.84,798521572.8000001
ABDL,25-Jun-2025,432.97,133755,45.61,432.45,10504,293284,1269.85,57911902.35
ABFRL,25-Jun-2025,74.66,1968066,46.12,74.84,16663,4267337,3186.06,146935807.56
ABGSEC,25-Jun-2025,109.98,75,86.21,110.04,8,87,0.1,8248.5
ABMINTLLTD,25-Jun-2025,58.49,9927,68.33,58.52,131,14529,8.5,580630.23
ABREL,25-Jun-2025,2398.72,42629,42.74,2358.5,12117,99738,2392.43,102255034.88
ABSLAMC,25-Jun-2025,771.64,197964,50.56,778.35,13886,391577,3021.56,152756940.96
ABSLBANETF,25-Jun-2025,57.48,3054,64.70,57.43,184,4720,2.71,175543.91999999998
ABSLLIQUID,25-Jun-2025,1000.0,1545,65.08,999.99,17,2374,23.74,1545000.0
ABSLNN50ET,25-Jun-2025,70.5,1981,64.99,70.41,199,3048,2.15,139660.5
ABSLPSE,25-Jun-2025,10.09,72837,49.65,10.07,570,146705,14.81,734925.33
ACC,25-Jun-2025,1854.5,205702,61.59,1854.2,21325,333987,6193.79,381474359.0
ACCELYA,25-Jun-2025,1412.83,3865,60.58,1415.1,1661,6380,90.14,5460587.949999999
ACCURACY,25-Jun-2025,8.95,143979,51.90,8.8,1223,277405,24.82,1288612.0499999998
