SYMBOL,DATE1,AVG_PRICE,DELIV_QTY,DELIV_PER,CLOSE_PRICE,NO_OF_TRADES,TTL_TRD_QNTY,TURNOVER_LACS,amount
20MICRONS,16-Jun-2025,233.68,118583,57.22,238.73,3551,207251,484.3,27710475.44
21STCENMGM,16-Jun-2025,64.17,2807,59.91,64.3,174,4685,3.01,180125.19
360ONE,16-Jun-2025,1162.75,1225978,53.24,1169.6,90196,2302686,26774.51,1425505919.5
3IINFOLTD,16-Jun-2025,25.28,267285,43.64,25.68,2880,612522,154.85,6756964.800000001
3MINDIA,16-Jun-2025,29086.86,704,47.73,29145.0,787,1475,429.03,20477149.44
3PLAND,16-Jun-2025,54.37,17220,55.87,54.07,636,30822,16.76,936251.3999999999
5PAISA,16-Jun-2025,402.09,12576,44.83,407.0,2442,28052,112.79,5056683.84
63MOONS,16-Jun-2025,926.64,157972,39.46,934.15,15929,400315,3709.48,146383174.07999998
AAATECH,16-Jun-2025,85.7,8923,42.63,85.2,746,20933,17.94,764701.1
AADHARHFC,16-Jun-2025,441.44,222690,53.74,443.65,23633,414360,1829.16,98304273.6
AAKASH,16-Jun-2025,9.36,567953,41.28,9.31,1956,1376004,128.77,5316040.08
AARON,16-Jun-2025,401.2,5992,53.49,400.3,1315,11203,44.95,2403990.4
AARTECH,16-Jun-2025,70.88,58351,33.04,70.75,2263,176612,125.19,4135918.88
AARTIDRUGS,16-Jun-2025,459.53,60551,38.85,462.15,11319,155841,716.14,27825001.029999997
AARTIIND,16-Jun-2025,456.82,557070,37.29,463.05,41870,1493985,6824.88,254480717.4
AARTIPHARM,16-Jun-2025,876.56,155959,51.05,874.35,20650,305524,2678.09,136707421.04
AARVI,16-Jun-2025,109.34,3405,72.74,109.94,232,4681,5.12,372302.7
AAVAS,16-Jun-2025,1859.7,28928,30.29,1874.5,15977,95502,1776.05,53797401.6
ABAN,16-Jun-2025,55.45,122303,53.04,54.27,3064,230607,127.88,6781701.350000001
ABB,16-Jun-2025,6006.3,58658,44.02,6014.0,24474,133245,8003.09,352317545.40000004
ABBOTINDIA,16-Jun-2025,31673.48,1261,36.79,31675.0,1686,3428,1085.77,39940258.28
ABCAPITAL,16-Jun-2025,245.35,2717518,43.18,248.75,62230,6293041,15439.67,666743041.3
ABDL,16-Jun-2025,430.13,341682,50.09,434.0,16385,682170,2934.25,146967678.66
ABFRL,16-Jun-2025,74.26,2190341,37.42,74.93,26491,5853862,4346.83,162654722.66
ABGSEC,16-Jun-2025,109.87,835,87.07,109.97,27,959,1.05,91741.45
ABMINTLLTD,16-Jun-2025,48.44,1009,69.68,48.3,18,1448,0.7,48875.96
ABREL,16-Jun-2025,2486.97,58854,29.49,2502.1,23814,199567,4963.18,146368132.38
ABSLAMC,16-Jun-2025,767.64,64176,40.02,769.8,14403,160358,1230.96,49264064.64
ABSLBANETF,16-Jun-2025,56.62,635620,98.54,56.73,4365,645014,365.23,35988804.4
ABSLLIQUID,16-Jun-2025,999.99,11057,50.85,999.99,40,21744,217.44,11056889.43
ABSLNN50ET,16-Jun-2025,69.85,6072,82.43,70.33,329,7366,5.14,424129.19999999995
ABSLPSE,16-Jun-2025,10.12,105184,63.52,10.14,667,165590,16.76,1064462.0799999998
ACC,16-Jun-2025,1853.26,100344,38.31,1872.7,15961,261904,4853.77,185963521.44
ACCELYA,16-Jun-2025,1406.71,3890,45.77,1414.8,2036,8499,119.56,5472101.9
ACCURACY,16-Jun-2025,8.35,76180,59.05,8.46,752,129015,10.77,636103.0
ACE,16-Jun-2025,1187.7,94803,46.35,1187.7,21786,204518,2429.06,112597523.10000001
ACEINTEG,16-Jun-2025,28.47,19465,39.34,28.1,617,49474,14.09,554168.5499999999
ACI,16-Jun-2025,627.62,78868,40.15,633.85,12831,196418,1232.76,49499134.160000004
ACL,16-Jun-2025,68.21,22779,40.62,66.75,1796,56077,38.25,1553755.5899999999
ACLGATI,16-Jun-2025,68.75,91970,26.30,69.29,4378,349671,240.41,6322937.5
ACMESOLAR,16-Jun-2025,241.61,187467,39.82,243.4,15965,470750,1137.39,45293901.870000005
ACUTAAS,16-Jun-2025,1088.88,121595,64.09,1093.6,15633,189713,2065.75,132402363.60000001
ADANIENSOL,16-Jun-2025,863.18,1279702,52.79,865.7,41334,2424281,20925.9,1104613172.36
ADANIENT,16-Jun-2025,2527.44,302106,31.59,2544.0,41826,956459,24173.91,763554788.64
ADANIGREEN,16-Jun-2025,985.97,408771,21.53,992.0,46673,1898670,18720.25,403035942.87
ADANIPORTS,16-Jun-2025,1399.41,1267674,44.90,1400.6,82395,2823300,39509.55,1773995672.3400002
ADANIPOWER,16-Jun-2025,563.06,818255,29.34,562.95,51287,2789157,15704.69,460726660.29999995
ADFFOODS,16-Jun-2025,274.13,35955,32.62,274.18,5984,110238,302.2,9856344.15
ADOR,16-Jun-2025,1007.98,2345,44.32,1006.85,1443,5291,53.33,2363713.1
ADROITINFO,16-Jun-2025,11.14,28769,55.98,11.1,329,51392,5.72,320486.66000000003
ADSL,16-Jun-2025,184.91,125031,45.90,185.31,5781,272424,503.74,23119482.21
ADVANIHOTR,16-Jun-2025,60.99,24465,58.73,61.48,864,41654,25.4,1492120.35
ADVENZYMES,16-Jun-2025,331.98,196075,35.60,336.9,15200,550757,1828.43,65092978.5
AEGISLOG,16-Jun-2025,779.42,146983,47.02,775.25,11951,312585,2436.35,114561489.86
AEGISVOPAK,16-Jun-2025,233.78,554209,57.31,235.03,10943,967118,2260.92,129562980.02
AEROFLEX,16-Jun-2025,170.3,269966,30.67,171.2,14998,880146,1498.92,45975209.800000004
AETHER,16-Jun-2025,787.85,32045,49.79,791.5,6081,64364,507.09,25246653.25
AFCONS,16-Jun-2025,439.54,474868,57.27,444.15,22179,829107,3644.3,208723480.72
AFFLE,16-Jun-2025,1931.35,124306,35.90,1961.1,32153,346252,6687.34,240078393.1
AFFORDABLE,16-Jun-2025,442.05,10216,43.81,449.7,1942,23318,103.08,4515982.8
AFIL,16-Jun-2025,7.85,949979,53.24,7.85,2273,1784416,140.12,7457335.149999999
AFSL,16-Jun-2025,239.2,64689,62.64,241.46,3205,103269,247.02,15473608.799999999
AGARIND,16-Jun-2025,962.09,9109,53.40,965.5,2018,17059,164.12,8763677.81
AGARWALEYE,16-Jun-2025,380.95,173856,49.74,384.95,19246,349543,1331.59,66230443.199999996
AGI,16-Jun-2025,819.13,23047,44.55,821.4,4588,51733,423.76,18878489.11
AGIIL,16-Jun-2025,857.42,31377,44.21,857.0,5032,70978,608.58,26903267.34
AGRITECH,16-Jun-2025,157.46,3769,48.26,157.69,495,7810,12.3,593466.74
AGROPHOS,16-Jun-2025,37.25,60439,47.66,37.32,889,126809,47.23,2251352.75
AHLADA,16-Jun-2025,68.22,12125,55.67,67.9,403,21780,14.86,827167.5
AHLEAST,16-Jun-2025,145.92,1384,48.78,145.54,167,2837,4.14,201953.27999999997
AHLUCONT,16-Jun-2025,919.99,16799,48.98,932.3,4137,34298,315.54,15454912.01
AIAENG,16-Jun-2025,3397.88,43077,76.41,3399.8,10401,56379,1915.69,146370476.76
AIIL,16-Jun-2025,2442.71,22766,36.13,2483.4,9558,63006,1539.05,55610735.86
AIRAN,16-Jun-2025,31.3,357354,39.67,30.96,5286,900749,281.97,11185180.200000001
AIROLAM,16-Jun-2025,112.33,6383,57.04,112.15,377,11191,12.57,717002.39
AJANTPHARM,16-Jun-2025,2611.46,28429,43.96,2598.2,12895,64674,1688.94,74241196.34
AJAXENGG,16-Jun-2025,604.56,42984,50.76,605.55,5826,84684,511.96,25986407.04
AJMERA,16-Jun-2025,957.73,49972,40.39,964.35,7746,123731,1185.01,47859683.56
AJOONI,16-Jun-2025,5.59,350951,59.67,5.64,1066,588134,32.85,1961816.0899999999
AKASH,16-Jun-2025,27.91,18037,55.39,28.04,308,32566,9.09,503412.67
AKG,16-Jun-2025,12.85,12504,61.93,12.89,270,20189,2.59,160676.4
AKSHARCHEM,16-Jun-2025,253.37,2314,49.34,251.89,482,4690,11.88,586298.18
AKUMS,16-Jun-2025,568.39,49834,31.28,574.7,9060,159298,905.43,28325147.259999998
AKZOINDIA,16-Jun-2025,3235.46,2923,55.83,3246.6,1508,5236,169.41,9457249.58
ALANKIT,16-Jun-2025,15.27,191134,46.56,15.24,1486,410493,62.68,2918616.1799999997
ALBERTDAVD,16-Jun-2025,854.24,3758,69.08,863.05,575,5440,46.47,3210233.92
ALEMBICLTD,16-Jun-2025,114.72,224694,40.80,114.64,8557,550691,631.73,25776895.68
ALICON,16-Jun-2025,886.14,4156,31.94,891.4,1928,13013,115.31,3682797.84
ALIVUS,16-Jun-2025,1010.87,62548,62.92,1018.0,8126,99404,1004.84,63227896.76
ALKALI,16-Jun-2025,100.58,5696,55.55,99.58,554,10254,10.31,572903.6799999999
ALKEM,16-Jun-2025,4844.04,24846,34.73,4868.0,9911,71534,3465.14,120355017.84
ALKYLAMINE,16-Jun-2025,1970.43,9722,43.06,1992.6,5153,22579,444.9,19156520.46
ALLCARGO,16-Jun-2025,35.94,1868267,32.28,36.28,22759,5788247,2080.57,67145515.97999999
ALLDIGI,16-Jun-2025,908.62,3311,52.98,914.7,780,6250,56.79,3008440.82
ALMONDZ,16-Jun-2025,21.26,156331,46.83,20.74,1718,333837,70.97,3323597.06
ALOKINDS,16-Jun-2025,19.78,2569315,27.63,20.09,22140,9299510,1839.61,50821050.7
ALPA,16-Jun-2025,98.87,6902,50.55,98.67,409,13654,13.5,682400.74
ALPHA,16-Jun-2025,49.68,1367449,63.52,50.04,5772,2152701,1069.37,67934866.32
ALPHAETF,16-Jun-2025,25.03,319114,55.76,25.12,1828,572259,143.22,7987423.42
ALPHAGEO,16-Jun-2025,276.95,7048,45.91,275.35,836,15353,42.52,1951943.5999999999
ALPL30IETF,16-Jun-2025,27.48,4959259,91.61,27.59,2678,5413395,1487.5,136280437.32
AMBER,16-Jun-2025,6413.95,77733,37.70,6470.0,25243,206173,13223.84,498575575.34999996
AMBICAAGAR,16-Jun-2025,29.13,4131,41.22,28.87,208,10023,2.92,120336.03
AMBIKCO,16-Jun-2025,1558.12,3443,44.50,1559.2,1254,7737,120.55,5364607.159999999
AMBUJACEM,16-Jun-2025,545.62,728600,58.13,550.15,14459,1253497,6839.37,397538732.0
AMDIND,16-Jun-2025,50.41,6690,62.86,50.06,214,10643,5.36,337242.89999999997
AMJLAND,16-Jun-2025,66.76,282790,24.39,66.49,15815,1159242,773.96,18879060.400000002
AMNPLST,16-Jun-2025,249.84,4166,26.27,247.08,2068,15859,39.62,1040833.4400000001
AMRUTANJAN,16-Jun-2025,702.53,13027,52.94,698.85,4582,24605,172.86,9151858.31
ANANDRATHI,16-Jun-2025,2103.54,131963,18.58,2104.0,59721,710403,14943.59,277589449.02
ANANTRAJ,16-Jun-2025,542.86,688691,33.04,552.55,52189,2084197,11314.3,373862796.26
ANDHRAPAP,16-Jun-2025,78.56,64658,52.98,79.92,3206,122031,95.86,5079532.48
ANDHRSUGAR,16-Jun-2025,75.17,48171,47.67,75.75,1954,101050,75.95,3621014.0700000003
ANGELONE,16-Jun-2025,2898.23,153570,19.64,2930.5,52582,781858,22660.03,445081181.1
ANMOL,16-Jun-2025,18.16,77241,65.81,18.74,1390,117362,21.31,1402696.56
ANTGRAPHIC,16-Jun-2025,1.33,713791,64.59,1.28,791,1105090,14.73,949342.03
ANUHPHR,16-Jun-2025,213.19,13027,55.08,213.73,1306,23650,50.42,2777226.13
ANUP,16-Jun-2025,2723.73,7105,45.32,2721.3,3167,15678,427.03,19352101.65
ANURAS,16-Jun-2025,1117.51,45229,47.15,1113.7,6538,95923,1071.95,50543859.79
AONELIQUID,16-Jun-2025,1012.68,27645,94.24,1012.65,198,29334,297.06,27995538.599999998
