SYMBOL,DATE1,AVG_PRICE,DELIV_QTY,DELIV_PER,CLOSE_PRICE,NO_OF_TRADES,TTL_TRD_QNTY,TURNOVER_LACS,amount
20MICRONS,04-Jun-2025,217.87,68511,56.03,217.56,3807,122286,266.42,14926491.57
21STCENMGM,04-Jun-2025,67.24,6096,88.03,66.89,128,6925,4.66,409895.04
360ONE,04-Jun-2025,1023.22,251285,59.91,1024.25,17623,419409,4291.46,257119837.70000002
3IINFOLTD,04-Jun-2025,24.71,137761,51.82,24.79,1454,265833,65.68,3404074.31
3MINDIA,04-Jun-2025,29931.41,3280,55.48,29695.0,2969,5912,1769.54,98175024.8
3PLAND,04-Jun-2025,50.04,12105,65.40,51.2,558,18509,9.26,605734.2
5PAISA,04-Jun-2025,405.81,8139,34.27,404.7,2174,23751,96.38,3302887.59
63MOONS,04-Jun-2025,845.86,49750,48.81,842.75,4946,101930,862.19,42081535.0
AAATECH,04-Jun-2025,88.55,30144,72.72,88.88,937,41450,36.7,2669251.1999999997
AADHARHFC,04-Jun-2025,440.41,129699,53.76,441.3,12921,241241,1062.46,57120736.59
AAKASH,04-Jun-2025,8.09,315206,89.41,8.13,708,352535,28.53,2550016.54
AARON,04-Jun-2025,389.81,2988,50.70,390.55,820,5894,22.98,1164752.28
AARTECH,04-Jun-2025,56.97,26526,64.08,56.13,1181,41395,23.58,1511186.22
AARTIDRUGS,04-Jun-2025,472.65,191531,41.66,473.65,20117,459723,2172.88,90527127.14999999
AARTIIND,04-Jun-2025,477.22,666388,41.15,481.4,25247,1619374,7728.03,318013681.36
AARTIPHARM,04-Jun-2025,927.3,240898,45.87,931.65,27696,525230,4870.47,223384715.39999998
AARVI,04-Jun-2025,113.27,6737,82.79,112.85,325,8137,9.22,763099.99
AAVAS,04-Jun-2025,1804.48,33860,53.55,1802.6,7821,63229,1140.95,61099692.8
ABAN,04-Jun-2025,46.82,43958,58.21,47.39,1875,75512,35.36,2058113.56
ABB,04-Jun-2025,6018.32,94405,55.11,6041.5,30828,171316,10310.34,568159499.6
ABBOTINDIA,04-Jun-2025,31299.09,9306,69.79,31295.0,3597,13335,4173.73,291269331.54
ABCAPITAL,04-Jun-2025,224.15,1085385,36.69,225.09,30260,2958622,6631.65,243289047.75
ABDL,04-Jun-2025,401.61,409063,51.88,404.0,11024,788422,3166.42,164283791.43
ABFRL,04-Jun-2025,78.96,94941621,38.80,76.77,220147,244709004,193214.53,7496590394.16
ABMINTLLTD,04-Jun-2025,47.86,326,60.59,47.15,26,538,0.26,15602.36
ABREL,04-Jun-2025,2130.92,36738,53.65,2137.5,10413,68475,1459.15,78285738.96000001
ABSLAMC,04-Jun-2025,760.15,352466,79.07,761.65,15457,445757,3388.42,267927029.9
ABSLBANETF,04-Jun-2025,56.43,14899,73.11,56.45,256,20378,11.5,840750.57
ABSLLIQUID,04-Jun-2025,1000.0,4813,83.92,999.99,27,5735,57.35,4813000.0
ABSLNN50ET,04-Jun-2025,69.4,4354,62.63,69.59,293,6952,4.82,302167.60000000003
ABSLPSE,04-Jun-2025,10.01,1265132,88.14,10.05,2914,1435447,143.67,12663971.32
ACC,04-Jun-2025,1871.13,97415,44.94,1877.0,15960,216767,4055.99,182276128.95000002
ACCELYA,04-Jun-2025,1414.91,5966,69.93,1409.8,1539,8531,120.71,8441353.06
ACCURACY,04-Jun-2025,8.74,97698,57.87,8.62,991,168820,14.76,853880.52
ACE,04-Jun-2025,1260.08,87010,48.87,1266.2,12521,178033,2243.36,109639560.8
ACEINTEG,04-Jun-2025,25.7,4281,62.80,25.38,286,6817,1.75,110021.7
ACI,04-Jun-2025,628.35,73428,44.48,628.35,9688,165064,1037.18,46138483.800000004
ACL,04-Jun-2025,67.69,19038,64.77,67.64,708,29395,19.9,1288682.22
ACLGATI,04-Jun-2025,69.76,203061,29.29,69.53,7534,693370,483.7,14165535.360000001
ACMESOLAR,04-Jun-2025,252.73,91902,36.98,253.7,8224,248499,628.03,23226392.46
ACUTAAS,04-Jun-2025,1122.63,274636,70.65,1113.1,51181,388739,4364.09,308314612.68
ADANIENSOL,04-Jun-2025,864.11,3338976,56.14,866.0,85304,5947467,51392.7,2885242551.36
ADANIENT,04-Jun-2025,2475.85,144636,26.17,2489.4,34151,552667,13683.23,358097040.59999996
ADANIGREEN,04-Jun-2025,998.34,473407,27.84,1004.8,45292,1700483,16976.58,472621144.38
ADANIPORTS,04-Jun-2025,1434.0,716140,49.49,1436.2,50641,1446972,20749.61,1026944760.0
ADANIPOWER,04-Jun-2025,543.94,988445,37.99,545.15,49517,2601679,14151.7,537654773.3000001
ADFFOODS,04-Jun-2025,266.62,83230,40.77,265.68,10288,204150,544.31,22190782.6
ADOR,04-Jun-2025,973.91,3105,66.56,968.55,918,4665,45.43,3023990.55
ADROITINFO,04-Jun-2025,11.26,13473,65.90,11.26,172,20444,2.3,151705.98
ADSL,04-Jun-2025,197.68,146212,40.50,197.39,8151,361007,713.66,28903188.16
ADVANIHOTR,04-Jun-2025,61.16,19761,76.34,60.91,452,25885,15.83,1208582.76
ADVENZYMES,04-Jun-2025,306.52,52816,55.86,307.6,4597,94543,289.79,16189160.319999998
AEGISLOG,04-Jun-2025,797.25,122181,32.29,799.5,15049,378392,3016.73,97408802.25
AEGISVOPAK,04-Jun-2025,261.45,3300195,58.75,266.46,58407,5617178,14686.1,862835982.75
AEROFLEX,04-Jun-2025,162.43,169481,36.61,163.04,8921,462935,751.97,27528798.830000002
AETHER,04-Jun-2025,762.95,353900,58.20,775.2,24427,608078,4639.33,270008005.0
AFCONS,04-Jun-2025,421.36,388047,70.67,421.5,21645,549117,2313.76,163507483.92000002
AFFLE,04-Jun-2025,1806.58,178199,55.93,1802.8,24250,318614,5756.0,321930749.42
AFFORDABLE,04-Jun-2025,430.07,15509,56.82,426.0,1570,27297,117.4,6669955.63
AFIL,04-Jun-2025,7.99,2076616,75.44,7.93,1788,2752839,219.91,16592161.84
AFSL,04-Jun-2025,216.62,81715,71.34,218.87,2724,114539,248.12,17701103.3
AGARIND,04-Jun-2025,970.92,27731,57.89,967.7,3160,47901,465.08,26924582.52
AGARWALEYE,04-Jun-2025,344.89,613503,74.04,345.5,19844,828576,2857.64,211591049.67
AGI,04-Jun-2025,843.83,21896,37.83,841.15,5886,57878,488.39,18476501.68
AGIIL,04-Jun-2025,832.21,30701,41.86,837.55,7239,73339,610.33,25549679.21
AGRITECH,04-Jun-2025,162.61,1594,63.51,162.47,377,2510,4.08,259200.34000000003
AGROPHOS,04-Jun-2025,38.3,129194,60.12,36.77,2445,214882,82.3,4948130.199999999
AHLADA,04-Jun-2025,66.45,14636,63.98,65.64,781,22876,15.2,972562.2000000001
AHLEAST,04-Jun-2025,139.49,3525,72.65,139.08,141,4852,6.77,491702.25000000006
AHLUCONT,04-Jun-2025,934.38,21949,45.25,928.15,5668,48503,453.2,20508706.62
AIAENG,04-Jun-2025,3510.75,25125,60.81,3533.7,8925,41315,1450.47,88207593.75
AIIL,04-Jun-2025,2502.33,59378,37.27,2525.0,12135,159325,3986.83,148583350.74
AIRAN,04-Jun-2025,28.35,393957,47.08,28.34,3947,836761,237.26,11168680.950000001
AIROLAM,04-Jun-2025,94.78,824,50.99,95.42,76,1616,1.53,78098.72
AJANTPHARM,04-Jun-2025,2586.08,39252,61.22,2586.4,16061,64119,1658.17,101508812.16
AJAXENGG,04-Jun-2025,633.25,166569,45.75,628.45,15946,364103,2305.67,105479819.25
AJMERA,04-Jun-2025,822.16,23505,58.33,815.5,3487,40296,331.3,19324870.8
AJOONI,04-Jun-2025,5.84,194394,65.51,5.82,693,296741,17.32,1135260.96
AKASH,04-Jun-2025,29.06,2449,82.62,28.81,49,2964,0.86,71167.94
AKG,04-Jun-2025,14.46,16888,92.01,14.41,134,18355,2.65,244200.48
AKSHARCHEM,04-Jun-2025,253.36,1805,50.28,252.92,278,3590,9.1,457314.80000000005
AKUMS,04-Jun-2025,559.13,67269,55.57,554.05,6351,121056,676.86,37612115.97
AKZOINDIA,04-Jun-2025,3325.05,6752,60.25,3308.2,2953,11207,372.64,22450737.6
ALANKIT,04-Jun-2025,14.47,256125,67.99,14.5,1845,376735,54.5,3706128.75
ALBERTDAVD,04-Jun-2025,799.73,2530,76.34,798.85,392,3314,26.5,2023316.9000000001
ALEMBICLTD,04-Jun-2025,110.58,124438,44.36,110.66,4501,280536,310.21,13760354.04
ALICON,04-Jun-2025,913.12,6082,49.29,908.4,1671,12340,112.68,5553595.84
