SYMBOL,DATE1,AVG_PRICE,DELIV_QTY,DELIV_PER,CLOSE_PRICE,NO_OF_TRADES,TTL_TRD_QNTY,TURNOVER_LACS,amount
20MICRONS,10-Jun-2025,226.3,72392,59.07,224.05,3191,122553,277.33,16382309.600000001
21STCENMGM,10-Jun-2025,67.23,14458,86.59,66.93,208,16697,11.23,972011.3400000001
360ONE,10-Jun-2025,1057.0,186185,38.82,1062.3,36936,479653,5069.92,196797545.0
3IINFOLTD,10-Jun-2025,26.51,961514,42.21,26.56,7490,2277883,603.82,25489736.14
3MINDIA,10-Jun-2025,29461.95,1642,60.70,29425.0,1276,2705,796.95,48376521.9
3PLAND,10-Jun-2025,55.86,12609,55.28,55.81,362,22808,12.74,704338.74
5PAISA,10-Jun-2025,423.83,26593,59.16,425.35,3495,44952,190.52,11270911.19
63MOONS,10-Jun-2025,873.46,94476,40.66,863.0,8810,232346,2029.45,82521006.96000001
AAATECH,10-Jun-2025,90.61,15163,64.07,90.16,1013,23668,21.45,1373919.43
AADHARHFC,10-Jun-2025,452.99,241594,62.65,452.55,22418,385641,1746.9,109439666.06
AAKASH,10-Jun-2025,8.44,171348,57.67,8.4,1114,297132,25.07,1446177.1199999999
AARON,10-Jun-2025,398.22,2909,57.79,398.75,592,5034,20.05,1158421.98
AARTECH,10-Jun-2025,65.67,325019,34.50,66.65,3620,942065,618.7,21343997.73
AARTIDRUGS,10-Jun-2025,466.44,57532,47.18,466.5,9775,121948,568.81,26835226.08
AARTIIND,10-Jun-2025,486.23,800516,40.35,481.9,30202,1983691,9645.37,389234894.68
AARTIPHARM,10-Jun-2025,926.82,111388,44.99,923.5,17323,247583,2294.65,103236626.16000001
AARVI,10-Jun-2025,112.33,3915,46.84,112.25,236,8359,9.39,439771.95
AAVAS,10-Jun-2025,1908.42,33140,51.50,1894.9,8783,64355,1228.16,63245038.800000004
ABAN,10-Jun-2025,52.58,236632,46.03,52.57,3016,514089,270.29,12442110.56
ABB,10-Jun-2025,6192.33,98928,47.59,6168.0,25039,207893,12873.41,612594822.24
ABBOTINDIA,10-Jun-2025,31710.56,1554,51.10,31645.0,1694,3041,964.32,49278210.24
ABCAPITAL,10-Jun-2025,244.52,4125000,41.51,242.66,68595,9938548,24301.37,1008645000.0
ABDL,10-Jun-2025,442.74,725675,49.92,444.55,23993,1453737,6436.35,321285349.5
ABFRL,10-Jun-2025,77.01,4246527,56.44,76.66,29777,7524310,5794.57,327025044.27000004
ABGSEC,10-Jun-2025,110.22,377,67.68,110.3,25,557,0.61,41552.94
ABMINTLLTD,10-Jun-2025,49.28,1632,87.88,49.56,27,1857,0.92,80424.96
ABREL,10-Jun-2025,2453.1,53997,25.23,2445.5,21325,214046,5250.76,132460040.69999999
ABSLAMC,10-Jun-2025,805.04,172658,50.91,800.95,27321,339123,2730.09,138996596.32
ABSLBANETF,10-Jun-2025,57.64,864595,99.21,57.61,1043,871469,502.31,49835255.8
ABSLLIQUID,10-Jun-2025,1000.0,1069,47.15,1000.0,37,2267,22.67,1069000.0
ABSLNN50ET,10-Jun-2025,71.63,10249,83.06,71.6,303,12339,8.84,734135.87
ABSLPSE,10-Jun-2025,10.29,322340,75.25,10.27,578,428358,44.08,3316878.5999999996
ACC,10-Jun-2025,1915.48,244808,52.66,1913.1,21796,464872,8904.55,468924827.84000003
ACCELYA,10-Jun-2025,1456.79,7532,62.20,1454.7,1997,12110,176.42,10972542.28
ACCURACY,10-Jun-2025,8.62,129481,81.46,8.59,789,158949,13.69,1116126.22
ACE,10-Jun-2025,1258.14,71889,53.18,1252.0,11718,135184,1700.8,90446426.46000001
ACEINTEG,10-Jun-2025,27.25,16054,58.59,26.83,390,27399,7.47,437471.5
ACI,10-Jun-2025,644.52,57387,41.89,641.55,11651,137002,883.0,36987069.24
ACL,10-Jun-2025,68.31,10854,55.86,68.62,658,19430,13.27,741436.74
ACLGATI,10-Jun-2025,73.25,675891,33.59,74.17,15647,2012237,1473.97,49509015.75
ACMESOLAR,10-Jun-2025,252.83,222742,28.90,252.65,15930,770609,1948.32,56315859.86
ACUTAAS,10-Jun-2025,1116.16,174955,56.32,1123.2,23620,310645,3467.29,195277772.8
ADANIENSOL,10-Jun-2025,910.37,3798495,46.69,915.5,95612,8134942,74058.14,3458035893.15
ADANIENT,10-Jun-2025,2626.35,584032,28.02,2613.1,86665,2084054,54734.56,1533872443.2
ADANIGREEN,10-Jun-2025,1057.66,1806124,33.19,1060.5,107060,5441911,57557.03,1910265109.8400002
ADANIPORTS,10-Jun-2025,1479.43,1042981,49.08,1473.8,65315,2125187,31440.75,1543017380.8300002
ADANIPOWER,10-Jun-2025,594.73,6793571,22.58,596.05,338178,30085179,178925.46,4040340480.83
ADFFOODS,10-Jun-2025,271.79,49479,40.49,272.43,5559,122197,332.12,13447897.41
ADOR,10-Jun-2025,1047.29,30580,65.95,1049.0,4059,46371,485.64,32026128.2
ADROITINFO,10-Jun-2025,11.29,21164,71.12,11.24,173,29757,3.36,238941.55999999997
ADSL,10-Jun-2025,193.2,112347,48.39,193.03,4729,232168,448.54,21705440.4
ADVANIHOTR,10-Jun-2025,62.66,33730,69.45,62.66,807,48570,30.43,2113521.8
