SYMBOL,DATE1,AVG_PRICE,DELIV_QTY,DELIV_PER,CLOSE_PRICE,NO_OF_TRADES,TTL_TRD_QNTY,TURNOVER_LACS,amount
20MICRONS,11-Jun-2025,234.47,134005,41.27,234.47,8708,324681,761.29,31420152.35
21STCENMGM,11-Jun-2025,66.71,4304,77.35,65.98,239,5564,3.71,287119.83999999997
360ONE,11-Jun-2025,1084.37,676381,45.43,1087.1,71375,1488940,16145.68,733447264.9699999
3IINFOLTD,11-Jun-2025,26.79,384774,49.35,26.68,3465,779725,208.92,10308095.459999999
3MINDIA,11-Jun-2025,29382.96,1307,46.83,29325.0,1101,2791,820.08,38403528.72
3PLAND,11-Jun-2025,57.21,19568,57.32,56.84,937,34139,19.53,1119485.28
5PAISA,11-Jun-2025,419.85,17449,46.99,416.25,3105,37133,155.9,7325962.65
63MOONS,11-Jun-2025,907.56,387684,48.83,909.25,24718,793902,7205.14,351846491.03999996
AAATECH,11-Jun-2025,90.45,19530,64.31,90.07,751,30369,27.47,1766488.5
AADHARHFC,11-Jun-2025,447.92,313077,59.77,445.95,28005,523828,2346.31,140233449.84
AAKASH,11-Jun-2025,8.58,109986,70.48,8.55,653,156050,13.39,943679.88
AARON,11-Jun-2025,398.62,2858,45.70,395.4,831,6254,24.93,1139255.96
AARTECH,11-Jun-2025,72.1,560007,36.51,73.14,5284,1533891,1105.97,40376504.699999996
AARTIDRUGS,11-Jun-2025,471.86,91307,43.60,472.6,14112,209398,988.06,43084121.02
AARTIIND,11-Jun-2025,482.56,410649,32.60,478.2,23292,1259663,6078.57,198162781.44
AARTIPHARM,11-Jun-2025,929.7,140081,43.99,916.85,25364,318459,2960.72,130233305.7
AARVI,11-Jun-2025,112.82,3448,50.76,113.26,354,6793,7.66,389003.36
AAVAS,11-Jun-2025,1862.58,40610,47.52,1843.3,11503,85467,1591.89,75639373.8
ABAN,11-Jun-2025,56.55,294792,41.95,55.71,6311,702656,397.34,16670487.6
ABB,11-Jun-2025,6088.12,163613,55.48,6077.0,37473,294907,17954.29,996095577.56
ABBOTINDIA,11-Jun-2025,31661.2,1701,59.94,31635.0,1014,2838,898.54,53855701.2
