SYMBOL,DATE1,AVG_PRICE,DELIV_QTY,DELIV_PER,CLOSE_PRICE,NO_OF_TRADES,TTL_TRD_QNTY,TURNOVER_LACS,amount
20MICRONS,05-Jun-2025,228.8,154205,36.16,229.31,9404,426424,975.67,35282104.0
21STCENMGM,05-Jun-2025,66.32,4997,91.17,66.06,253,5481,3.64,331401.04
360ONE,05-Jun-2025,1059.81,800263,51.45,1074.0,70484,1555439,16484.71,848126730.03
3IINFOLTD,05-Jun-2025,24.83,225632,53.96,24.51,2216,418113,103.81,5602442.56
3MINDIA,05-Jun-2025,29686.64,583,42.43,29630.0,791,1374,407.89,17307311.12
3PLAND,05-Jun-2025,53.77,29612,64.18,54.4,959,46142,24.81,1592237.24
5PAISA,05-Jun-2025,406.04,12236,51.60,404.75,2964,23713,96.28,4968305.44
63MOONS,05-Jun-2025,882.19,247790,54.91,884.4,6109,451282,3981.17,218597860.10000002
AAATECH,05-Jun-2025,89.16,31685,50.98,90.03,3211,62154,55.41,2825034.6
AADHARHFC,05-Jun-2025,444.68,151915,55.07,443.8,11378,275876,1226.77,67553562.2
AAKASH,05-Jun-2025,8.19,53825,62.47,8.14,443,86158,7.06,440826.75
AARON,05-Jun-2025,389.82,6284,56.13,397.0,1000,11196,43.64,2449628.88
AARTECH,05-Jun-2025,56.89,22295,61.94,57.6,837,35997,20.48,1268362.55
AARTIDRUGS,05-Jun-2025,470.26,94651,39.36,463.25,16373,240445,1130.72,44510579.26
AARTIIND,05-Jun-2025,482.49,520818,32.95,481.65,23091,1580850,7627.47,251289476.82
AARTIPHARM,05-Jun-2025,938.29,140870,48.81,925.25,20500,288593,2707.83,132176912.3
AARVI,05-Jun-2025,114.65,2180,63.71,114.66,152,3422,3.92,249937.0
AAVAS,05-Jun-2025,1816.98,26850,34.35,1812.2,6854,78168,1420.3,48785913.0
ABAN,05-Jun-2025,47.91,33673,59.33,47.55,1028,56754,27.19,1613273.43
ABB,05-Jun-2025,6044.8,71714,52.88,6031.5,19178,135626,8198.32,433496787.2
ABBOTINDIA,05-Jun-2025,31546.03,19819,76.85,31695.0,5178,25789,8135.41,625210768.5699999
ABCAPITAL,05-Jun-2025,224.61,1150712,48.49,225.2,27958,2373268,5330.67,258461422.32000002
