SYMBOL,DATE1,AVG_PRICE,DELIV_QTY,DELIV_PER,CLOSE_PRICE,NO_OF_TRADES,TTL_TRD_QNTY,TURNOVER_LACS,amount
20MICRONS,19-Jun-2025,227.8,45596,49.43,225.29,3421,92236,210.12,10386768.8
21STCENMGM,19-Jun-2025,66.46,4494,76.86,66.08,121,5847,3.89,298671.24
360ONE,19-Jun-2025,1132.29,376295,44.83,1114.4,53657,839416,9504.66,426075065.55
3IINFOLTD,19-Jun-2025,24.6,250204,51.39,24.4,2806,486851,119.78,6155018.4
3MINDIA,19-Jun-2025,28875.3,831,50.70,28875.0,920,1639,473.27,23995374.3
3PLAND,19-Jun-2025,53.33,11028,64.63,51.4,435,17064,9.1,588123.24
5PAISA,19-Jun-2025,391.71,16166,51.80,388.95,2827,31206,122.24,6332383.859999999
63MOONS,19-Jun-2025,888.23,187374,51.65,873.55,18404,362752,3222.08,166431208.02
AAATECH,19-Jun-2025,83.18,5975,78.42,83.01,307,7619,6.34,497000.50000000006
AADHARHFC,19-Jun-2025,440.16,122600,54.22,436.35,18939,226096,995.19,53963616.0
AAKASH,19-Jun-2025,11.36,2252491,36.96,11.64,10707,6094498,692.56,25588297.759999998
AARON,19-Jun-2025,395.81,3809,56.08,390.8,775,6792,26.88,1507640.29
AARTECH,19-Jun-2025,66.03,94844,75.15,66.28,1833,126203,83.33,6262549.32
AARTIDRUGS,19-Jun-2025,444.58,52535,48.18,439.75,10382,109047,484.8,23356010.3
AARTIIND,19-Jun-2025,444.8,462659,27.04,437.4,29884,1710949,7610.3,205790723.20000002
AARTIPHARM,19-Jun-2025,855.05,153114,55.24,842.5,24861,277168,2369.93,130920125.69999999
AARVI,19-Jun-2025,108.73,4114,58.97,108.38,160,6976,7.59,447315.22000000003
AAVAS,19-Jun-2025,1839.98,31212,29.05,1813.4,15769,107442,1976.91,57429455.76
ABAN,19-Jun-2025,59.45,569309,39.02,59.29,15798,1459151,867.53,33845420.050000004
ABB,19-Jun-2025,5929.74,59068,45.11,5869.0,19892,130952,7765.12,350257882.32
ABBOTINDIA,19-Jun-2025,31436.35,3897,44.14,31030.0,5031,8828,2775.2,122507455.94999999
ABCAPITAL,19-Jun-2025,256.11,5376825,49.86,255.68,66012,10784231,27619.0,1377058650.75
ABDL,19-Jun-2025,420.42,184824,55.10,415.2,9080,335410,1410.14,77703706.08
ABFRL,19-Jun-2025,73.28,2010662,39.31,72.47,23600,5115530,3748.53,147341311.36
ABGSEC,19-Jun-2025,109.92,4603,99.37,109.46,26,4632,5.09,505961.76
ABMINTLLTD,19-Jun-2025,47.95,205,56.16,49.0,12,365,0.18,9829.75
ABREL,19-Jun-2025,2440.97,33448,30.92,2454.8,11499,108186,2640.79,81645564.55999999
ABSLAMC,19-Jun-2025,743.47,190292,66.66,735.25,15657,285449,2122.24,141476393.24
ABSLBANETF,19-Jun-2025,56.41,128928,96.12,56.37,2348,134138,75.67,7272828.4799999995
ABSLLIQUID,19-Jun-2025,1000.0,10916,94.61,1000.0,87,11538,115.38,10916000.0
ABSLNN50ET,19-Jun-2025,69.15,7818,81.07,68.68,354,9643,6.67,540614.7000000001
ABSLPSE,19-Jun-2025,9.95,171856,64.42,9.93,1558,266756,26.54,1709967.2
ACC,19-Jun-2025,1833.73,238721,57.21,1825.6,19122,417294,7652.05,437749859.33
ACCELYA,19-Jun-2025,1385.19,7979,53.57,1377.7,2794,14894,206.31,11052431.01
ACCURACY,19-Jun-2025,8.22,78001,70.05,8.11,803,111352,9.15,641168.2200000001
ACE,19-Jun-2025,1180.92,59271,48.29,1171.1,13594,122727,1449.3,69994309.32000001
ACEINTEG,19-Jun-2025,26.15,6974,58.71,25.48,345,11879,3.11,182370.09999999998
ACI,19-Jun-2025,612.5,30662,32.98,608.65,5622,92959,569.37,18780475.0
ACL,19-Jun-2025,67.45,9525,57.90,66.59,464,16451,11.1,642461.25
ACLGATI,19-Jun-2025,65.53,124829,46.02,64.77,3160,271270,177.77,8180044.37
ACMESOLAR,19-Jun-2025,246.98,328125,58.95,245.8,12915,556630,1374.78,81040312.5
ACUTAAS,19-Jun-2025,1089.17,138883,54.26,1091.4,37867,255977,2788.04,151267197.11
ADANIENSOL,19-Jun-2025,829.98,676099,40.56,823.6,38747,1666745,13833.6,561148648.02
ADANIENT,19-Jun-2025,2431.18,205308,29.83,2420.6,46707,688209,16731.59,499140703.43999994
ADANIGREEN,19-Jun-2025,945.17,790834,32.74,934.0,64924,2415130,22827.2,747472571.78
ADANIPORTS,19-Jun-2025,1345.11,1520976,51.55,1338.0,93065,2950283,39684.54,2045880027.36
ADANIPOWER,19-Jun-2025,544.41,972147,35.82,536.5,51105,2713788,14774.27,529246548.27
ADFFOODS,19-Jun-2025,283.99,52654,32.10,277.07,7787,164049,465.89,14953209.46
ADOR,19-Jun-2025,1011.48,6442,25.39,980.35,3093,25376,256.67,6515954.16
ADROITINFO,19-Jun-2025,10.9,23835,51.06,10.81,537,46680,5.09,259801.5
ADSL,19-Jun-2025,177.77,83430,44.26,175.65,5579,188482,335.06,14831351.100000001
ADVANIHOTR,19-Jun-2025,60.46,38086,64.36,60.1,1463,59180,35.78,2302679.56
ADVENZYMES,19-Jun-2025,331.38,98421,46.34,329.65,7437,212373,703.77,32614750.98
AEGISLOG,19-Jun-2025,796.28,289839,10.08,800.85,78465,2875561,22897.55,230792998.92
AEGISVOPAK,19-Jun-2025,245.58,523823,64.30,246.8,19464,814675,2000.68,128640452.34
AEROFLEX,19-Jun-2025,197.55,5668806,8.72,194.87,424643,64976145,128361.65,1119872625.3
AETHER,19-Jun-2025,758.76,87896,57.01,760.85,10505,154177,1169.83,66691968.96
AFCONS,19-Jun-2025,427.01,1715684,71.03,424.85,60350,2415566,10314.81,732614224.84
AFFLE,19-Jun-2025,1904.75,111852,47.27,1900.2,17006,236639,4507.38,213050097.0
AFFORDABLE,19-Jun-2025,442.56,12414,53.26,446.25,2234,23310,103.16,5493939.84
AFIL,19-Jun-2025,7.6,490135,47.25,7.51,1944,1037409,78.88,3725026.0
AFSL,19-Jun-2025,230.02,55995,78.61,229.84,2507,71234,163.86,12879969.9
AGARIND,19-Jun-2025,959.18,9147,54.29,956.7,1758,16847,161.59,8773619.459999999
AGARWALEYE,19-Jun-2025,407.18,713375,65.74,407.9,28885,1085110,4418.33,290472032.5
AGI,19-Jun-2025,800.95,36748,46.87,801.65,8922,78404,627.98,29433310.6
AGIIL,19-Jun-2025,872.02,19923,36.34,861.6,4989,54825,478.08,17373254.46
