SYMBOL,DATE1,AVG_PRICE,DELIV_QTY,DELIV_PER,CLOSE_PRICE,NO_OF_TRADES,TTL_TRD_QNTY,TURNOVER_LACS,amount
20MICRONS,03-Jun-2025,223.99,98248,44.03,220.01,5425,223151,499.83,22006569.52
21STCENMGM,03-Jun-2025,68.29,11570,92.28,68.19,129,12538,8.56,790115.3
360ONE,03-Jun-2025,1024.14,282677,59.67,1014.15,30530,473711,4851.48,289500822.78000003
3IINFOLTD,03-Jun-2025,25.17,164520,52.87,24.88,1430,311162,78.31,4140968.4000000004
3MINDIA,03-Jun-2025,29735.95,3050,58.10,29830.0,2259,5250,1561.14,90694647.5
3PLAND,03-Jun-2025,51.11,44862,80.18,49.39,816,55954,28.6,2292896.82
5PAISA,03-Jun-2025,413.92,18167,45.91,405.5,3716,39574,163.81,7519684.640000001
63MOONS,03-Jun-2025,840.41,79894,37.44,843.85,8252,213385,1793.3,67143716.53999999
AAATECH,03-Jun-2025,87.47,23389,58.95,87.35,1378,39677,34.7,2045835.83
AADHARHFC,03-Jun-2025,441.99,72716,47.88,441.5,6850,151864,671.22,32139744.84
AAKASH,03-Jun-2025,8.12,145788,77.00,7.87,575,189331,15.36,1183798.5599999998
AARON,03-Jun-2025,389.17,5002,44.84,383.65,1562,11156,43.42,1946628.34
AARTECH,03-Jun-2025,57.57,13834,67.99,57.15,527,20346,11.71,796423.38
AARTIDRUGS,03-Jun-2025,470.53,169128,44.31,464.0,15759,381717,1796.1,79579797.83999999
AARTIIND,03-Jun-2025,474.85,276097,34.05,470.6,14445,810870,3850.41,131104660.45
AARTIPHARM,03-Jun-2025,906.41,81031,39.79,903.75,16929,203660,1846.0,73447308.71
AARVI,03-Jun-2025,115.85,5496,50.61,115.05,377,10859,12.58,636711.6
AAVAS,03-Jun-2025,1808.86,27029,53.02,1803.9,7795,50981,922.18,48891676.94
ABAN,03-Jun-2025,46.97,26650,61.34,46.31,1192,43445,20.4,1251750.5
ABB,03-Jun-2025,6020.04,88368,44.84,5995.0,29653,197089,11864.83,531978894.71999997
ABBOTINDIA,03-Jun-2025,31031.23,5873,51.23,31135.0,4967,11464,3557.42,182246413.79
