SYMBOL,DATE1,AVG_PRICE,DELIV_QTY,DELIV_PER,CLOSE_PRICE,NO_OF_TRADES,TTL_TRD_QNTY,TURNOVER_LACS,amount
20MICRONS,06-Jun-2025,228.07,76520,45.65,227.34,5008,167624,382.3,17451916.4
21STCENMGM,06-Jun-2025,66.58,8525,75.59,67.23,279,11278,7.51,567594.5
360ONE,06-Jun-2025,1089.14,1048145,43.56,1064.8,102235,2406203,26206.93,1141576645.3000002
3IINFOLTD,06-Jun-2025,24.63,173259,48.68,24.68,1700,355928,87.67,4267369.17
3MINDIA,06-Jun-2025,29416.6,1305,57.92,29360.0,1143,2253,662.76,38388663.0
3PLAND,06-Jun-2025,54.13,24771,63.42,52.69,720,39060,21.14,1340854.23
5PAISA,06-Jun-2025,403.57,35464,42.56,409.65,6163,83325,336.27,14312206.48
63MOONS,06-Jun-2025,875.97,350697,42.31,846.55,38525,828896,7260.91,307200051.09000003
AAATECH,06-Jun-2025,90.05,32126,53.00,90.15,2679,60610,54.58,2892946.3
AADHARHFC,06-Jun-2025,451.3,350596,51.09,449.45,23823,686250,3097.03,158223974.8
AAKASH,06-Jun-2025,8.34,89047,73.79,8.34,681,120679,10.07,742651.98
AARON,06-Jun-2025,397.84,8547,49.36,398.2,1574,17315,68.89,3400338.48
AARTECH,06-Jun-2025,60.17,75372,67.75,60.99,2282,111251,66.93,4535133.24
AARTIDRUGS,06-Jun-2025,464.7,53513,47.67,462.15,6340,112258,521.66,24867491.099999998
AARTIIND,06-Jun-2025,478.83,184744,35.16,476.85,11453,525506,2516.29,88460969.52
AARTIPHARM,06-Jun-2025,918.51,87216,36.00,909.25,15133,242268,2225.27,80108768.16
AARVI,06-Jun-2025,112.11,5791,67.42,112.62,302,8590,9.63,649229.01
AAVAS,06-Jun-2025,1895.27,111270,31.86,1922.3,30908,349207,6618.43,210886692.9
ABAN,06-Jun-2025,48.3,33749,55.66,48.08,1626,60634,29.28,1630076.7
ABB,06-Jun-2025,6101.15,89482,26.61,6051.5,38067,336263,20515.91,545943104.3
ABBOTINDIA,06-Jun-2025,31845.67,10837,64.89,31630.0,3707,16700,5318.23,345111525.78999996
ABCAPITAL,06-Jun-2025,230.6,3049203,40.01,233.41,48863,7621338,17575.09,703146211.8
ABDL,06-Jun-2025,424.95,566361,53.44,428.45,20968,1059718,4503.22,240675106.95
ABFRL,06-Jun-2025,77.19,6573921,50.21,77.77,38399,13094138,10107.21,507440961.99
ABGSEC,06-Jun-2025,111.04,1075,63.42,110.71,15,1695,1.88,119368.0
ABMINTLLTD,06-Jun-2025,48.51,10,66.67,49.0,8,15,0.01,485.09999999999997
ABREL,06-Jun-2025,2360.5,352538,14.54,2355.8,159972,2425159,57245.85,832165949.0
ABSLAMC,06-Jun-2025,781.73,151290,31.78,778.7,29579,476043,3721.38,118267931.7
ABSLBANETF,06-Jun-2025,57.48,692554,94.83,57.48,465,730300,419.79,39808003.919999994
ABSLLIQUID,06-Jun-2025,999.99,2241,60.11,1000.0,40,3728,37.28,2240977.59
ABSLNN50ET,06-Jun-2025,70.45,21782,91.18,70.61,272,23888,16.83,1534541.9000000001
ABSLPSE,06-Jun-2025,10.1,573292,90.11,10.14,564,636192,64.23,5790249.2
ACC,06-Jun-2025,1902.17,122623,41.46,1904.3,20409,295783,5626.31,233249791.91
ACCELYA,06-Jun-2025,1402.54,3943,53.26,1400.9,1697,7403,103.83,5530215.22
ACCURACY,06-Jun-2025,8.68,73422,63.46,8.65,810,115689,10.04,637302.96
ACE,06-Jun-2025,1247.87,69032,53.79,1242.4,11969,128347,1601.61,86142961.83999999
ACEINTEG,06-Jun-2025,28.24,69665,30.97,28.21,1326,224936,63.52,1967339.5999999999
ACI,06-Jun-2025,640.96,69905,45.79,642.2,10202,152661,978.5,44806308.800000004
ACL,06-Jun-2025,69.24,20204,64.51,69.44,761,31321,21.69,1398924.96
ACLGATI,06-Jun-2025,70.51,152003,36.44,69.44,5205,417179,294.17,10717731.530000001
ACMESOLAR,06-Jun-2025,252.28,109271,42.27,250.85,7327,258526,652.21,27566887.88
ACUTAAS,06-Jun-2025,1146.74,149415,55.99,1140.5,21918,266870,3060.31,171340157.1
ADANIENSOL,06-Jun-2025,884.75,3765078,56.37,884.1,92628,6679702,59098.83,3331152760.5
ADANIENT,06-Jun-2025,2534.95,200106,31.23,2534.2,53932,640680,16240.9,507258704.7
ADANIGREEN,06-Jun-2025,1016.31,953508,36.43,1018.8,70730,2617425,26601.26,969059715.4799999
