SYMBOL,DATE1,AVG_PRICE,DELIV_QTY,DELIV_PER,CLOSE_PRICE,NO_OF_TRADES,TTL_TRD_QNTY,TURNOVER_LACS,amount
20MICRONS,24-Jun-2025,229.18,45417,46.54,228.27,2726,97583,223.64,10408668.06
21STCENMGM,24-Jun-2025,63.73,5003,100.00,63.73,69,5003,3.19,318841.19
360ONE,24-Jun-2025,1162.85,213286,47.94,1147.65,35315,444866,5173.13,248019625.1
3IINFOLTD,24-Jun-2025,25.16,185758,46.12,25.04,1918,402808,101.34,4673671.28
3MINDIA,24-Jun-2025,28446.75,1050,51.42,28415.0,1073,2042,580.88,29869087.5
3PLAND,24-Jun-2025,51.65,3446,69.27,51.3,202,4975,2.57,177985.9
5PAISA,24-Jun-2025,400.86,9759,43.73,402.35,2094,22318,89.46,3911992.74
63MOONS,24-Jun-2025,951.05,481004,37.40,962.9,20579,1286095,12231.43,457458854.2
AAATECH,24-Jun-2025,86.34,9415,37.24,84.81,1147,25279,21.83,812891.1
AADHARHFC,24-Jun-2025,436.92,266431,63.86,434.25,19930,417198,1822.8,116409032.52000001
AAKASH,24-Jun-2025,12.97,1391982,33.30,12.73,9364,4179721,542.04,18054006.54
AARON,24-Jun-2025,376.19,7847,69.08,376.55,912,11359,42.73,2951962.93
AARTECH,24-Jun-2025,70.94,90083,39.47,69.74,3241,228252,161.92,6390488.02
AARTIDRUGS,24-Jun-2025,437.61,106153,43.50,438.4,12992,244013,1067.84,46453614.33
AARTIIND,24-Jun-2025,459.86,993793,27.08,454.2,48913,3669832,16876.03,457005648.98
AARTIPHARM,24-Jun-2025,857.15,166182,46.52,853.65,26599,357259,3062.24,142442901.29999998
AARVI,24-Jun-2025,110.12,11497,67.05,108.52,419,17148,18.88,1266049.6400000001
AAVAS,24-Jun-2025,1877.53,45935,39.25,1892.8,15927,117028,2197.24,86244340.55
ABAN,24-Jun-2025,58.8,99215,53.98,58.21,4353,183801,108.07,5833842.0
ABB,24-Jun-2025,6018.92,95651,41.84,6003.5,30520,228616,13760.21,575715716.92
ABBOTINDIA,24-Jun-2025,31518.66,5890,63.97,31535.0,2691,9207,2901.92,185644907.4
