SYMBOL,DATE1,AVG_PRICE,DELIV_QTY,DELIV_PER,CLOSE_PRICE,NO_OF_TRADES,TTL_TRD_QNTY,TURNOVER_LACS,amount
20MICRONS,26-Jun-2025,231.19,29756,50.27,230.29,2341,59192,136.85,6879289.64
21STCENMGM,26-Jun-2025,61.2,8071,99.94,61.2,124,8076,4.94,493945.2
360ONE,26-Jun-2025,1169.91,1024937,56.73,1164.85,87168,1806780,21137.62,1199084045.67
3IINFOLTD,26-Jun-2025,25.67,183083,44.91,25.52,1812,407675,104.65,4699740.61
3MINDIA,26-Jun-2025,28620.21,1106,55.77,28605.0,1074,1983,567.54,31653952.259999998
3PLAND,26-Jun-2025,50.75,5631,63.89,50.64,281,8814,4.47,285773.25
5PAISA,26-Jun-2025,413.09,15232,45.72,410.65,2731,33315,137.62,6292186.88
63MOONS,26-Jun-2025,997.25,211362,49.15,992.95,14600,430003,4288.2,210780754.5
AAATECH,26-Jun-2025,83.99,12403,73.45,83.38,589,16887,14.18,1041727.97
AADHARHFC,26-Jun-2025,442.73,214243,61.91,444.0,18770,346045,1532.06,94851803.39
AARON,26-Jun-2025,366.63,9524,64.16,363.5,1193,14845,54.43,3491784.12
AARTECH,26-Jun-2025,72.48,115621,51.94,73.07,2366,222596,161.34,8380210.08
AARTIDRUGS,26-Jun-2025,453.48,145418,39.22,445.4,22067,370764,1681.33,65944154.64
AARTIIND,26-Jun-2025,473.89,571114,37.67,475.9,30258,1516181,7185.1,270645213.46
AARTIPHARM,26-Jun-2025,873.94,157607,46.75,872.85,18065,337101,2946.07,137739061.58
AARVI,26-Jun-2025,111.12,1874,43.37,111.03,248,4321,4.8,208238.88
AAVAS,26-Jun-2025,1943.09,99137,32.86,1942.6,30792,301739,5863.05,192632113.32999998
ABAN,26-Jun-2025,57.55,72956,61.15,56.72,1913,119308,68.66,4198617.8
ABB,26-Jun-2025,5999.08,48858,44.38,6012.5,17577,110098,6604.87,293103050.64
ABBOTINDIA,26-Jun-2025,32790.92,12626,41.08,33055.0,13253,30735,10078.29,414018155.91999996
ABCAPITAL,26-Jun-2025,274.72,4196547,53.47,276.8,77181,7848468,21560.99,1152875391.8400002
ABDL,26-Jun-2025,433.64,201702,40.25,435.25,20792,501072,2172.83,87466055.28
ABFRL,26-Jun-2025,74.16,2511255,41.24,74.39,28089,6089378,4516.0,186234670.79999998
ABGSEC,26-Jun-2025,109.55,541,83.88,109.99,5,645,0.71,59266.549999999996
ABMINTLLTD,26-Jun-2025,63.99,9504,66.03,64.37,109,14393,9.21,608160.96
ABREL,26-Jun-2025,2348.67,26865,36.19,2334.5,9865,74240,1743.65,63097019.550000004
ABSLAMC,26-Jun-2025,775.95,74559,49.97,777.1,18858,149204,1157.75,57854056.050000004
ABSLBANETF,26-Jun-2025,57.86,32741,83.81,58.0,280,39065,22.6,1894394.26
ABSLLIQUID,26-Jun-2025,1000.0,2166,97.26,1000.0,12,2227,22.27,2166000.0
ABSLNN50ET,26-Jun-2025,70.85,7385,71.56,71.09,256,10320,7.31,523227.24999999994
ABSLPSE,26-Jun-2025,10.17,683507,91.14,10.18,514,749947,76.27,6951266.19
ACC,26-Jun-2025,1871.49,256418,47.64,1881.7,36197,538191,10072.2,479883722.82
ACCELYA,26-Jun-2025,1411.54,2485,52.93,1411.0,1215,4695,66.27,3507676.9
ACCURACY,26-Jun-2025,8.75,124157,55.80,8.76,1196,222520,19.46,1086373.75
ACE,26-Jun-2025,1220.56,50818,50.46,1224.3,9101,100707,1229.19,62026418.08
ACEINTEG,26-Jun-2025,25.84,1954,48.29,25.73,126,4046,1.05,50491.36
ACI,26-Jun-2025,636.92,58583,39.06,631.05,10064,149964,955.14,37312684.36
ACL,26-Jun-2025,66.58,18967,50.99,66.52,1085,37195,24.76,1262822.8599999999
ACLGATI,26-Jun-2025,68.04,140867,49.51,67.84,2966,284510,193.57,9584590.680000002
ACMESOLAR,26-Jun-2025,249.82,247429,36.20,246.5,16473,683531,1707.57,61812712.78
ACUTAAS,26-Jun-2025,1079.64,333472,58.77,1105.7,52642,567403,6125.89,360029710.08000004
ADANIENSOL,26-Jun-2025,858.15,1409842,51.89,864.75,49949,2717149,23317.24,1209855912.3
ADANIENT,26-Jun-2025,2559.96,492519,36.77,2586.2,57666,1339627,34293.93,1260828939.24
ADANIGREEN,26-Jun-2025,985.54,597421,26.50,992.0,50216,2254782,22221.86,588782292.34
ADANIPORTS,26-Jun-2025,1421.02,1214276,42.19,1429.3,87040,2877806,40894.13,1725510481.52
ADANIPOWER,26-Jun-2025,571.01,2369186,38.69,578.15,89030,6123781,34967.45,1352828897.86
ADFFOODS,26-Jun-2025,279.48,18534,44.96,279.86,2479,41222,115.21,5179882.32
ADOR,26-Jun-2025,1016.0,6396,46.42,1007.5,1587,13778,139.98,6498336.0
ADROITINFO,26-Jun-2025,11.05,13058,63.34,10.96,251,20616,2.28,144290.90000000002
ADSL,26-Jun-2025,185.66,44886,44.13,185.27,2581,101710,188.83,8333534.76
ADVANIHOTR,26-Jun-2025,61.22,21864,56.11,61.11,915,38969,23.86,1338514.08
ADVENZYMES,26-Jun-2025,327.32,71431,33.03,324.55,10410,216245,707.81,23380794.919999998
AEGISLOG,26-Jun-2025,826.13,575464,26.67,825.4,78516,2157366,17822.73,475408074.32
AEGISVOPAK,26-Jun-2025,258.39,2554263,68.78,252.22,37857,3713455,9595.13,659996016.5699999
AEROENTER,26-Jun-2025,96.0,161366,56.40,95.84,3887,286100,274.66,15491136.0
AEROFLEX,26-Jun-2025,204.42,709620,17.80,204.56,32683,3987237,8150.71,145060520.4
AETHER,26-Jun-2025,772.15,148089,82.00,769.45,6891,180602,1394.51,114346921.35
AFCONS,26-Jun-2025,437.57,594960,63.54,438.6,26518,936393,4097.35,260336647.2
AFFLE,26-Jun-2025,1959.48,171067,52.18,1956.6,31707,327846,6424.08,335202365.16
AFFORDABLE,26-Jun-2025,452.53,8090,60.26,450.4,1031,13425,60.75,3660967.6999999997
AFIL,26-Jun-2025,7.52,319773,61.20,7.49,1104,522509,39.31,2404692.96
AFSL,26-Jun-2025,250.95,32851,49.08,248.58,3283,66929,167.96,8243958.449999999
AGARIND,26-Jun-2025,973.08,7041,41.24,971.65,1529,17072,166.12,6851456.28
AGARWALEYE,26-Jun-2025,401.51,113392,46.35,399.95,8389,244658,982.33,45528021.92
AGI,26-Jun-2025,818.26,23924,52.76,814.4,4922,45344,371.03,19576052.24
AGIIL,26-Jun-2025,987.78,108006,40.23,999.6,8733,268463,2651.82,106686166.67999999
AGRITECH,26-Jun-2025,158.29,3606,70.10,158.51,359,5144,8.14,570793.74
AGROPHOS,26-Jun-2025,36.11,23798,67.36,36.02,597,35332,12.76,859345.78
AHLADA,26-Jun-2025,68.77,23347,57.60,68.34,1345,40532,27.87,1605573.19
AHLEAST,26-Jun-2025,147.06,1739,70.46,146.27,250,2468,3.63,255737.34
AHLUCONT,26-Jun-2025,944.73,6535,46.70,942.4,2613,13994,132.21,6173810.55
