SYMBOL,DATE1,AVG_PRICE,DELIV_QTY,DELIV_PER,CLOSE_PRICE,NO_OF_TRADES,TTL_TRD_QNTY,TURNOVER_LACS,amount
20MICRONS,20-Jun-2025,224.31,50062,51.03,224.0,3060,98100,220.05,11229407.22
21STCENMGM,20-Jun-2025,66.43,2737,70.89,66.37,131,3861,2.56,181818.91000000003
360ONE,20-Jun-2025,1130.19,381588,57.88,1137.25,29559,659293,7451.26,431266941.72
3IINFOLTD,20-Jun-2025,24.51,190618,45.46,24.53,1791,419353,102.77,4672047.180000001
3MINDIA,20-Jun-2025,28543.02,2862,60.67,28490.0,2865,4717,1346.37,81690123.24
3PLAND,20-Jun-2025,52.02,2069,56.61,52.17,146,3655,1.9,107629.38
5PAISA,20-Jun-2025,390.09,8540,43.35,390.0,2723,19699,76.84,3331368.5999999996
63MOONS,20-Jun-2025,867.0,83060,39.29,861.3,10070,211402,1832.86,72013020.0
AAATECH,20-Jun-2025,83.59,3472,51.43,84.38,357,6751,5.64,290224.48000000004
AADHARHFC,20-Jun-2025,437.62,286288,66.63,437.5,23321,429694,1880.42,125285354.56
AAKASH,20-Jun-2025,12.91,2896528,26.69,12.22,21391,10850960,1401.3,37394176.48
AARON,20-Jun-2025,390.72,2707,51.12,388.95,481,5295,20.69,1057679.04
AARTECH,20-Jun-2025,66.24,34362,62.34,66.28,1369,55122,36.51,2276138.88
AARTIDRUGS,20-Jun-2025,436.64,124091,53.56,440.65,10723,231692,1011.67,54183094.239999995
AARTIIND,20-Jun-2025,439.55,565648,37.11,441.3,22968,1524200,6699.56,248630578.4
AARTIPHARM,20-Jun-2025,852.53,76305,41.54,853.25,18094,183711,1566.19,65052301.65
AARVI,20-Jun-2025,109.86,975,35.36,109.8,200,2757,3.03,107113.5
AAVAS,20-Jun-2025,1817.34,134982,64.78,1816.5,23014,208384,3787.04,245308187.88
ABAN,20-Jun-2025,59.42,276368,46.88,57.29,9348,589510,350.31,16421786.56
ABB,20-Jun-2025,5958.39,154868,64.07,5968.5,30171,241725,14402.91,922763942.5200001
ABBOTINDIA,20-Jun-2025,31324.8,4405,44.08,31620.0,4668,9994,3130.6,137985744.0
ABCAPITAL,20-Jun-2025,260.09,16509343,70.74,260.28,100997,23337677,60698.64,4293915020.8699994
ABDL,20-Jun-2025,422.37,166201,44.58,422.65,12086,372841,1574.75,70198316.37
ABFRL,20-Jun-2025,73.32,3872436,51.21,73.66,24195,7562343,5544.85,283927007.52
ABGSEC,20-Jun-2025,109.91,467,98.94,109.94,8,472,0.52,51327.97
ABMINTLLTD,20-Jun-2025,47.17,75,56.82,46.9,7,132,0.06,3537.75
ABREL,20-Jun-2025,2420.1,89286,36.54,2424.9,27328,244371,5914.03,216081048.6
ABSLAMC,20-Jun-2025,750.94,56812,39.49,755.95,12329,143872,1080.39,42662403.28
ABSLBANETF,20-Jun-2025,56.83,9373,72.97,57.08,195,12845,7.3,532667.59
ABSLLIQUID,20-Jun-2025,1000.0,4636,67.37,999.99,17,6881,68.81,4636000.0
