SYMBOL,DATE1,AVG_PRICE,DELIV_QTY,DELIV_PER,CLOSE_PRICE,NO_OF_TRADES,TTL_TRD_QNTY,TURNOVER_LACS,amount
20MICRONS,18-Jun-2025,234.12,29813,45.64,232.98,2393,65322,152.93,6979819.5600000005
21STCENMGM,18-Jun-2025,65.07,1919,76.79,65.53,78,2499,1.63,124869.32999999999
360ONE,18-Jun-2025,1138.1,404406,51.07,1118.65,37363,791793,9011.42,460254468.59999996
3IINFOLTD,18-Jun-2025,25.3,146218,43.55,25.12,1660,335774,84.95,3699315.4
3MINDIA,18-Jun-2025,29081.28,921,54.95,29175.0,923,1676,487.4,26783858.88
3PLAND,18-Jun-2025,53.77,14436,77.13,53.88,350,18717,10.06,776223.7200000001
5PAISA,18-Jun-2025,398.81,8235,47.76,397.55,2163,17242,68.76,3284200.35
63MOONS,18-Jun-2025,929.84,138601,38.89,930.95,12003,356387,3313.81,128876753.84
AAATECH,18-Jun-2025,84.14,3378,51.52,84.33,310,6557,5.52,284224.92
AADHARHFC,18-Jun-2025,441.59,188640,60.73,440.15,14556,310645,1371.78,83301537.6
AAKASH,18-Jun-2025,10.02,1115657,30.40,9.7,7819,3669694,367.8,11178883.139999999
AARON,18-Jun-2025,400.24,3985,63.82,403.45,516,6244,24.99,1594956.4000000001
AARTECH,18-Jun-2025,67.85,48456,58.57,67.19,1668,82728,56.13,3287739.5999999996
AARTIDRUGS,18-Jun-2025,449.13,62494,39.90,446.4,11539,156613,703.39,28067930.22
AARTIIND,18-Jun-2025,452.32,273860,36.98,450.15,17730,740566,3349.74,123872355.2
AARTIPHARM,18-Jun-2025,878.96,113608,33.16,880.8,27232,342652,3011.79,99856887.68
AARVI,18-Jun-2025,109.92,2329,46.19,109.76,228,5042,5.54,256003.68
AAVAS,18-Jun-2025,1825.39,18451,38.40,1822.8,8320,48052,877.13,33680270.89
ABAN,18-Jun-2025,55.53,236869,70.82,56.39,2708,334460,185.74,13153335.57
ABB,18-Jun-2025,6039.9,77466,46.76,6044.0,19672,165662,10005.82,467886893.4
ABBOTINDIA,18-Jun-2025,31690.49,1868,51.22,31565.0,1666,3647,1155.75,59197835.32
ABCAPITAL,18-Jun-2025,256.62,5166602,42.59,256.23,85271,12129695,31127.18,1325853405.24
ABDL,18-Jun-2025,431.53,226455,55.77,426.95,14339,406080,1752.36,97722126.14999999
ABFRL,18-Jun-2025,74.84,1348746,38.78,74.43,18538,3477834,2602.67,100940150.64
ABGSEC,18-Jun-2025,109.46,25006,98.81,109.88,16,25306,27.7,2737156.76
ABMINTLLTD,18-Jun-2025,49.67,187,48.70,49.32,12,384,0.19,9288.29
ABREL,18-Jun-2025,2452.66,52903,44.61,2445.3,14161,118593,2908.69,129753071.97999999
ABSLAMC,18-Jun-2025,756.56,110068,55.62,749.8,15481,197907,1497.28,83273046.08
ABSLBANETF,18-Jun-2025,56.66,2458604,99.59,56.65,281,2468683,1398.68,139304502.64
ABSLLIQUID,18-Jun-2025,1000.0,12655,87.38,1000.01,36,14483,144.83,12655000.0
ABSLNN50ET,18-Jun-2025,69.61,6829,91.37,69.51,232,7474,5.2,475366.69
ABSLPSE,18-Jun-2025,10.05,104122,69.41,10.05,623,150002,15.07,1046426.1000000001
ACC,18-Jun-2025,1849.98,99833,47.74,1840.6,17998,209111,3868.51,184689053.34
ACCELYA,18-Jun-2025,1412.31,2740,62.30,1412.1,1161,4398,62.11,3869729.4
ACCURACY,18-Jun-2025,8.37,67908,78.19,8.3,592,86852,7.27,568389.96
ACE,18-Jun-2025,1199.71,71097,46.03,1198.6,14905,154457,1853.04,85295781.87
ACEINTEG,18-Jun-2025,27.32,7665,55.02,26.97,345,13931,3.81,209407.8
ACI,18-Jun-2025,623.64,35232,36.66,619.8,6725,96112,599.4,21972084.48
ACL,18-Jun-2025,68.7,22736,55.87,68.56,1035,40692,27.96,1561963.2
ACLGATI,18-Jun-2025,67.01,112833,49.37,66.6,2755,228568,153.16,7560939.330000001
ACMESOLAR,18-Jun-2025,252.71,481662,50.92,253.75,13513,945904,2390.35,121720804.02000001
ACUTAAS,18-Jun-2025,1097.56,306829,82.09,1107.6,22394,373768,4102.33,336763237.24
ADANIENSOL,18-Jun-2025,844.49,1201371,61.82,846.45,30436,1943400,16411.81,1014545795.79
ADANIENT,18-Jun-2025,2467.9,167847,25.16,2459.1,40514,667044,16461.96,414229611.3
ADANIGREEN,18-Jun-2025,971.84,619163,37.93,968.9,34931,1632269,15863.04,601727369.9200001
ADANIPORTS,18-Jun-2025,1376.39,836238,48.28,1372.6,71001,1732093,23840.38,1150989620.8200002
ADANIPOWER,18-Jun-2025,553.81,752655,37.40,550.8,37680,2012632,11146.11,416827865.54999995
ADFFOODS,18-Jun-2025,290.26,47395,29.47,287.91,7391,160816,466.78,13756872.7
ADOR,18-Jun-2025,989.41,3428,50.14,998.65,1029,6837,67.65,3391697.48
ADROITINFO,18-Jun-2025,11.02,8373,17.02,11.05,1193,49199,5.42,92270.45999999999
ADSL,18-Jun-2025,181.87,88009,45.57,180.48,4740,193147,351.28,16006196.83
ADVANIHOTR,18-Jun-2025,62.07,35488,66.48,62.09,971,53382,33.14,2202740.16
ADVENZYMES,18-Jun-2025,339.53,82761,33.95,337.15,9714,243761,827.65,28099842.33
AEGISLOG,18-Jun-2025,777.12,63486,35.43,774.5,9373,179193,1392.55,49336240.32
AEGISVOPAK,18-Jun-2025,244.71,596719,54.80,246.66,14879,1088994,2664.83,146023106.49
AEROFLEX,18-Jun-2025,174.23,707650,24.80,174.85,40168,2853684,4972.03,123293859.5
AETHER,18-Jun-2025,776.03,75491,61.15,768.6,9201,123453,958.04,58583280.73
AFCONS,18-Jun-2025,440.83,353619,53.27,439.75,20586,663855,2926.5,155885863.76999998
AFFLE,18-Jun-2025,1913.19,166436,55.45,1903.4,15659,300154,5742.51,318423690.84000003
AFFORDABLE,18-Jun-2025,453.03,9683,55.25,454.9,1440,17527,79.4,4386689.489999999
AFIL,18-Jun-2025,7.77,485376,54.42,7.71,1121,891868,69.3,3771371.52
AFSL,18-Jun-2025,234.41,60970,69.42,234.21,2791,87823,205.87,14291977.7
AGARIND,18-Jun-2025,974.15,8613,54.32,979.4,1532,15857,154.47,8390353.95
AGARWALEYE,18-Jun-2025,399.25,210667,66.82,398.95,8488,315289,1258.8,84108799.75
AGI,18-Jun-2025,808.76,55343,38.77,808.1,10236,142743,1154.45,44759204.68
AGIIL,18-Jun-2025,881.8,71545,23.02,874.5,21631,310849,2741.05,63088381.0
AGRITECH,18-Jun-2025,156.01,3506,72.14,155.08,350,4860,7.58,546971.0599999999
AGROPHOS,18-Jun-2025,36.22,11177,51.73,36.06,264,21608,7.83,404830.94
AHLADA,18-Jun-2025,71.79,86448,64.67,72.21,1230,133672,95.97,6206101.920000001
AHLEAST,18-Jun-2025,145.29,1873,53.50,147.19,262,3501,5.09,272128.17
AHLUCONT,18-Jun-2025,918.21,16132,42.88,915.65,2908,37618,345.41,14812563.72
AIAENG,18-Jun-2025,3401.07,13945,53.32,3384.3,8866,26155,889.55,47427921.150000006
AIIL,18-Jun-2025,2535.89,92261,13.49,2541.1,63582,683675,17337.26,233963747.29
AIRAN,18-Jun-2025,29.95,188347,68.36,29.59,1512,275528,82.52,5640992.649999999
AIROLAM,18-Jun-2025,106.88,8508,44.57,105.11,868,19090,20.4,909335.0399999999
AJANTPHARM,18-Jun-2025,2544.17,246202,88.27,2581.4,13845,278928,7096.41,626379742.34
AJAXENGG,18-Jun-2025,602.94,49789,58.62,602.55,5531,84934,512.1,30019779.660000004
AJMERA,18-Jun-2025,975.22,26222,33.32,973.85,6884,78706,767.56,25572218.84
AJOONI,18-Jun-2025,5.62,139929,67.88,5.6,495,206137,11.58,786400.98
AKASH,18-Jun-2025,29.09,8470,64.40,28.81,291,13152,3.83,246392.3
AKG,18-Jun-2025,13.31,45798,47.36,13.66,435,96696,12.87,609571.38
