SYMBOL,DATE1,AVG_PRICE,DELIV_QTY,DELIV_PER,CLOSE_PRICE,NO_OF_TRADES,TTL_TRD_QNTY,TURNOVER_LACS,amount
20MICRONS,12-Jun-2025,230.27,46099,49.89,228.14,3410,92405,212.78,10615216.73
21STCENMGM,12-Jun-2025,66.49,7039,71.30,66.21,253,9873,6.56,468023.11
360ONE,12-Jun-2025,1093.23,966695,61.96,1081.4,72334,1560231,17056.95,1056819974.85
3IINFOLTD,12-Jun-2025,26.29,616435,60.48,25.91,3514,1019162,267.91,16206076.15
3MINDIA,12-Jun-2025,29310.36,1132,36.12,29230.0,1539,3134,918.59,33179327.52
3PLAND,12-Jun-2025,57.19,5688,59.45,56.48,333,9568,5.47,325296.72
5PAISA,12-Jun-2025,411.51,13173,45.70,405.75,2767,28826,118.62,5420821.2299999995
63MOONS,12-Jun-2025,894.56,187831,36.62,909.6,19315,512980,4588.93,168026099.35999998
AAATECH,12-Jun-2025,90.25,13954,45.40,89.83,1343,30733,27.74,1259348.5
AADHARHFC,12-Jun-2025,443.01,183212,62.48,442.05,13365,293240,1299.08,81164748.12
AAKASH,12-Jun-2025,8.5,94884,72.26,8.41,662,131305,11.16,806514.0
AARON,12-Jun-2025,394.19,1991,42.23,393.6,544,4715,18.59,784832.29
AARTECH,12-Jun-2025,74.79,444295,29.45,70.91,5903,1508499,1128.21,33228823.050000004
AARTIDRUGS,12-Jun-2025,481.77,235008,33.74,473.6,31108,696495,3355.51,113219804.16
AARTIIND,12-Jun-2025,475.03,439602,42.74,469.85,20104,1028596,4886.1,208824138.06
AARTIPHARM,12-Jun-2025,923.38,80732,42.39,918.3,19103,190473,1758.79,74546314.16
AARVI,12-Jun-2025,112.66,2398,68.48,112.22,174,3502,3.95,270158.68
AAVAS,12-Jun-2025,1836.94,29241,39.79,1827.4,9335,73482,1349.82,53713962.54
ABAN,12-Jun-2025,55.14,132896,55.98,54.08,2966,237386,130.89,7327885.44
ABB,12-Jun-2025,6029.0,227441,61.57,6021.0,31038,369396,22270.87,1371241789.0
ABBOTINDIA,12-Jun-2025,31602.21,6689,73.86,31575.0,2897,9056,2861.9,211387182.69
ABCAPITAL,12-Jun-2025,247.14,2418411,35.33,242.97,45951,6845799,16918.51,597686094.54
ABDL,12-Jun-2025,419.76,363922,49.91,415.45,15837,729175,3060.81,152759898.72
