SYMBOL,DATE1,AVG_PRICE,DELIV_QTY,DELIV_PER,CLOSE_PRICE,NO_OF_TRADES,TTL_TRD_QNTY,TURNOVER_LACS,amount
20MICRONS,09-Jun-2025,229.55,59908,50.83,228.17,3741,117867,270.56,13751881.4
21STCENMGM,09-Jun-2025,67.39,3788,36.58,67.21,220,10355,6.98,255273.32
360ONE,09-Jun-2025,1063.09,1045619,67.54,1065.6,68400,1548191,16458.65,1111587102.7099998
3IINFOLTD,09-Jun-2025,25.08,370473,65.76,25.09,1886,563382,141.3,9291462.84
3MINDIA,09-Jun-2025,29448.09,1594,60.79,29425.0,1338,2622,772.13,46940255.46
3PLAND,09-Jun-2025,55.19,26440,69.00,55.0,783,38320,21.15,1459223.5999999999
5PAISA,09-Jun-2025,423.0,35528,41.79,423.7,6209,85014,359.61,15028344.0
63MOONS,09-Jun-2025,857.4,84714,41.83,856.9,8522,202503,1736.26,72633783.6
AAATECH,09-Jun-2025,90.44,16383,44.49,90.43,1261,36820,33.3,1481678.52
AADHARHFC,09-Jun-2025,453.29,278929,47.62,452.95,25281,585696,2654.91,126435726.41000001
AAKASH,09-Jun-2025,8.54,183153,60.69,8.46,1050,301795,25.78,1564126.6199999999
AARON,09-Jun-2025,397.63,3259,56.22,398.3,707,5797,23.05,1295876.17
AARTECH,09-Jun-2025,60.27,136739,38.13,60.6,3412,358578,216.13,8241259.53
AARTIDRUGS,09-Jun-2025,466.52,48523,45.88,468.5,7338,105761,493.39,22636949.96
AARTIIND,09-Jun-2025,483.39,722747,50.37,483.65,25605,1434855,6935.96,349368672.33
AARTIPHARM,09-Jun-2025,913.8,56369,45.04,911.15,9510,125166,1143.77,51509992.199999996
AARVI,09-Jun-2025,113.27,2565,44.24,113.21,281,5798,6.57,290537.55
AAVAS,09-Jun-2025,1933.12,67935,37.48,1936.6,21576,181276,3504.27,131326507.19999999
ABAN,09-Jun-2025,48.28,59226,65.60,48.61,1288,90290,43.59,2859431.2800000003
ABB,09-Jun-2025,6173.12,142167,52.50,6215.0,26046,270782,16715.7,877613951.04
ABBOTINDIA,09-Jun-2025,31787.17,2118,43.95,31810.0,2214,4819,1531.82,67325226.06
ABCAPITAL,09-Jun-2025,240.64,3258258,30.72,240.23,84312,10606849,25524.68,784067205.12
ABDL,09-Jun-2025,431.5,361259,58.34,429.85,13831,619234,2672.01,155883258.5
ABFRL,09-Jun-2025,77.52,5809399,48.61,77.36,32261,11951164,9264.91,450344610.47999996
ABGSEC,09-Jun-2025,110.28,1328,48.43,109.88,51,2742,3.02,146451.84
ABMINTLLTD,09-Jun-2025,49.67,403,47.58,49.49,19,847,0.42,20017.010000000002
ABREL,09-Jun-2025,2420.75,203433,20.93,2460.4,82464,972179,23533.98,492460434.75
ABSLAMC,09-Jun-2025,807.47,225848,38.64,808.7,33974,584495,4719.59,182365484.56
ABSLBANETF,09-Jun-2025,57.87,58347,71.46,57.7,353,81654,47.25,3376540.8899999997
ABSLLIQUID,09-Jun-2025,999.99,4077,78.87,999.99,32,5169,51.69,4076959.23
ABSLNN50ET,09-Jun-2025,71.32,18033,95.46,71.6,370,18891,13.47,1286113.5599999998
ABSLPSE,09-Jun-2025,10.24,275479,80.85,10.24,684,340724,34.87,2820904.96
ACC,09-Jun-2025,1905.65,109427,53.62,1905.6,16608,204074,3888.94,208529562.55
ACCELYA,09-Jun-2025,1439.55,15585,51.24,1452.2,4356,30414,437.83,22435386.75
ACCURACY,09-Jun-2025,8.74,129563,78.13,8.66,852,165835,14.49,1132380.62
ACE,09-Jun-2025,1261.03,133590,43.64,1263.3,20844,306089,3859.86,168460997.7
ACEINTEG,09-Jun-2025,28.07,10399,57.07,28.15,294,18221,5.11,291899.93
ACI,09-Jun-2025,645.52,168434,56.00,649.5,17195,300752,1941.4,108727515.67999999
ACL,09-Jun-2025,68.97,44815,70.97,67.95,1272,63142,43.55,3090890.55
ACLGATI,09-Jun-2025,70.0,167886,44.60,69.75,4659,376411,263.5,11752020.0
ACMESOLAR,09-Jun-2025,249.71,185244,43.13,248.1,10010,429479,1072.44,46257279.24
ACUTAAS,09-Jun-2025,1122.62,181730,63.56,1118.0,28023,285910,3209.69,204013732.6
ADANIENSOL,09-Jun-2025,899.57,3351920,49.28,901.4,88317,6802393,61192.0,3015286674.4
ADANIENT,09-Jun-2025,2568.33,632847,36.98,2582.1,56427,1711167,43948.38,1625359935.51
ADANIGREEN,09-Jun-2025,1032.84,1550001,41.88,1034.3,69610,3700815,38223.64,1600903032.84
ADANIPORTS,09-Jun-2025,1471.02,612566,41.02,1467.1,62088,1493331,21967.18,901096837.3199999
ADANIPOWER,09-Jun-2025,563.98,1696369,35.91,563.1,64394,4723594,26640.18,956718188.62
ADFFOODS,09-Jun-2025,272.55,236495,31.16,274.4,27582,759064,2068.85,64456712.25
ADOR,09-Jun-2025,1012.71,9778,52.82,1013.0,2536,18511,187.46,9902278.38
ADROITINFO,09-Jun-2025,11.2,50292,61.74,11.14,270,81455,9.12,563270.3999999999
ADSL,09-Jun-2025,193.94,181365,51.49,192.42,6571,352205,683.07,35173928.1
ADVANIHOTR,09-Jun-2025,62.21,41522,67.85,62.3,1341,61199,38.07,2583083.62
ADVENZYMES,09-Jun-2025,310.24,95168,52.69,309.7,8359,180609,560.32,29524920.32
AEGISLOG,09-Jun-2025,803.69,186435,44.61,803.55,16149,417899,3358.6,149835945.15
AEGISVOPAK,09-Jun-2025,258.32,994544,46.83,258.08,26690,2123712,5485.93,256910606.07999998
AEROFLEX,09-Jun-2025,166.91,521467,52.91,165.77,21940,985488,1644.92,87038056.97
AETHER,09-Jun-2025,808.76,173130,59.20,809.05,24899,292432,2365.07,140020618.8
AFCONS,09-Jun-2025,448.48,1426975,38.61,447.9,58485,3696279,16577.25,639969748.0
AFFLE,09-Jun-2025,1848.01,156159,43.02,1868.7,29340,362957,6707.48,288583393.59
AFFORDABLE,09-Jun-2025,447.91,35980,59.85,442.65,2590,60118,269.27,16115801.8
AFIL,09-Jun-2025,8.53,1153700,58.82,8.43,2317,1961451,167.28,9841061.0
AFSL,09-Jun-2025,224.16,63726,71.05,224.42,2643,89695,201.06,14284820.16
AGARIND,09-Jun-2025,983.19,12220,59.43,984.15,1550,20562,202.16,12014581.8
AGARWALEYE,09-Jun-2025,373.03,262119,55.33,374.95,33141,473762,1767.3,97778250.57
AGI,09-Jun-2025,861.16,57999,38.83,867.35,9172,149360,1286.22,49946418.839999996
AGIIL,09-Jun-2025,917.28,195127,52.13,915.15,22529,374314,3433.52,178986094.56
AGRITECH,09-Jun-2025,160.68,8249,49.86,158.83,990,16543,26.58,1325449.32
AGROPHOS,09-Jun-2025,37.48,34837,64.23,37.43,743,54239,20.33,1305690.7599999998
AHLADA,09-Jun-2025,64.38,14472,62.48,64.23,676,23161,14.91,931707.36
AHLEAST,09-Jun-2025,140.62,9944,68.43,140.8,230,14532,20.43,1398325.28
AHLUCONT,09-Jun-2025,931.64,22949,55.03,939.2,5584,41702,388.51,21380206.36
AIAENG,09-Jun-2025,3508.5,24207,77.78,3509.3,4294,31123,1091.95,84930259.5
AIIL,09-Jun-2025,2494.92,29839,46.95,2499.9,8533,63561,1585.79,74445917.88
AIRAN,09-Jun-2025,27.59,96053,74.87,27.51,871,128293,35.39,2650102.27
AIROLAM,09-Jun-2025,107.95,47008,50.13,114.2,1018,93768,101.22,5074513.600000001
AJANTPHARM,09-Jun-2025,2591.1,40478,65.17,2594.8,11392,62107,1609.25,104882545.8
AJAXENGG,09-Jun-2025,622.53,93074,58.36,621.3,9670,159487,992.86,57941357.22
AJMERA,09-Jun-2025,941.96,92069,32.26,938.4,20584,285440,2688.73,86725315.24000001
AJOONI,09-Jun-2025,5.68,355644,69.56,5.65,944,511264,29.02,2020057.92
AKASH,09-Jun-2025,29.07,3634,53.96,29.0,142,6734,1.96,105640.38
AKG,09-Jun-2025,13.81,23216,51.34,13.65,500,45224,6.24,320612.96
AKSHARCHEM,09-Jun-2025,250.55,5350,55.17,248.74,564,9697,24.3,1340442.5
AKUMS,09-Jun-2025,567.16,38157,43.72,568.3,4373,87273,494.97,21641124.119999997
AKZOINDIA,09-Jun-2025,3260.65,4286,44.73,3263.7,2856,9582,312.44,13975145.9
ALANKIT,09-Jun-2025,15.15,500453,64.24,15.19,2783,779042,118.0,7581862.95
ALBERTDAVD,09-Jun-2025,827.91,6233,57.00,831.55,1168,10935,90.53,5160363.03
ALEMBICLTD,09-Jun-2025,112.74,271002,57.58,111.91,5426,470684,530.66,30552765.48
ALICON,09-Jun-2025,891.81,5975,52.10,888.55,1678,11468,102.27,5328564.75
ALIVUS,09-Jun-2025,1014.72,181761,85.62,1014.9,9326,212279,2154.04,184436521.92000002
ALKALI,09-Jun-2025,102.26,5200,86.83,102.21,212,5989,6.12,531752.0
ALKEM,09-Jun-2025,4869.02,41529,50.03,4873.5,12126,83010,4041.77,202205531.58
ALKYLAMINE,09-Jun-2025,2005.89,29300,62.84,2012.4,6011,46628,935.31,58772577.0
ALLCARGO,09-Jun-2025,34.37,3025854,43.59,34.79,21650,6941693,2385.52,103998601.97999999
ALLDIGI,09-Jun-2025,917.67,4579,50.33,913.3,1195,9098,83.49,4202010.93
ALMONDZ,09-Jun-2025,21.48,322545,54.81,21.41,2452,588435,126.42,6928266.600000001
ALOKINDS,09-Jun-2025,19.58,2590436,43.79,19.53,11263,5915461,1158.29,50720736.879999995
ALPA,09-Jun-2025,99.84,21272,65.25,99.86,740,32602,32.55,2123796.48
ALPHA,09-Jun-2025,51.39,1505924,85.22,51.49,4405,1767024,908.14,77389434.36
ALPHAETF,09-Jun-2025,25.63,674292,61.38,25.69,5375,1098626,281.6,17282103.96
ALPHAGEO,09-Jun-2025,261.78,6174,69.17,262.9,548,8926,23.37,1616229.7199999997
ALPL30IETF,09-Jun-2025,27.56,421728,63.70,27.58,2518,662057,182.45,11622823.68
AMBER,09-Jun-2025,6575.97,240398,40.77,6638.0,70174,589707,38778.93,1580850036.06
AMBICAAGAR,09-Jun-2025,29.36,8868,76.79,29.15,297,11549,3.39,260364.47999999998
AMBIKCO,09-Jun-2025,1662.44,5224,52.89,1649.3,1735,9877,164.2,8684586.56
AMBUJACEM,09-Jun-2025,557.95,2163442,66.18,560.0,41343,3268930,18238.94,1207092463.9
AMDIND,09-Jun-2025,51.34,5408,66.58,51.24,187,8123,4.17,277646.72000000003
AMJLAND,09-Jun-2025,62.59,55557,70.32,62.58,1171,79011,49.46,3477312.6300000004
AMNPLST,09-Jun-2025,247.48,7275,40.26,246.75,1118,18071,44.72,1800417.0
AMRUTANJAN,09-Jun-2025,715.83,6506,51.54,712.25,2024,12624,90.37,4657189.98
ANANDRATHI,09-Jun-2025,1983.35,30051,57.25,1984.3,5841,52492,1041.1,59601650.849999994
ANANTRAJ,09-Jun-2025,588.9,1027195,32.85,585.8,63103,3127357,18417.06,604915135.5
ANDHRAPAP,09-Jun-2025,78.39,76855,50.91,78.22,2972,150974,118.35,6024663.45
ANDHRSUGAR,09-Jun-2025,77.47,135909,51.60,76.89,4377,263373,204.04,10528870.23
ANGELONE,09-Jun-2025,3229.83,187999,27.00,3202.3,49746,696223,22486.85,607204810.17
ANMOL,09-Jun-2025,17.69,40249,60.56,17.58,1129,66460,11.76,712004.81
ANTGRAPHIC,09-Jun-2025,1.2,1116183,74.40,1.22,1093,1500290,18.06,1339419.5999999999
ANUHPHR,09-Jun-2025,213.65,18366,58.58,213.43,1167,31351,66.98,3923895.9
ANUP,09-Jun-2025,2803.92,7036,57.44,2798.4,2716,12250,343.48,19728381.12
ANURAS,09-Jun-2025,1057.61,43659,48.49,1053.1,6953,90040,952.27,46174194.989999995
AONELIQUID,09-Jun-2025,1011.73,20261,98.60,1011.73,671,20549,207.9,20498661.53
AONENIFTY,09-Jun-2025,10.24,184435,83.06,10.24,1623,222043,22.74,1888614.4000000001
AONETOTAL,09-Jun-2025,11.79,319192,56.84,11.78,3069,561568,66.2,3763273.6799999997
APARINDS,09-Jun-2025,8231.83,28885,47.60,8186.0,12916,60678,4994.91,237776409.55
APCL,09-Jun-2025,138.85,5692,27.74,137.16,1467,20520,28.49,790334.2
APCOTEXIND,09-Jun-2025,384.57,18033,45.64,384.15,3315,39512,151.95,6934950.81
APEX,09-Jun-2025,225.17,21524,52.82,224.69,2759,40749,91.75,4846559.08
APLAPOLLO,09-Jun-2025,1893.73,232376,60.45,1883.0,25100,384398,7279.46,440057402.48
APLLTD,09-Jun-2025,988.11,18426,50.89,989.8,4236,36206,357.75,18206914.86
APOLLO,09-Jun-2025,200.56,3055205,43.85,199.3,50435,6967413,13973.82,612751914.8
APOLLOHOSP,09-Jun-2025,6918.36,150837,62.99,6932.0,29939,239444,16565.59,1043544667.3199999
APOLLOPIPE,09-Jun-2025,428.24,227260,55.24,430.35,10597,411395,1761.75,97321822.4
APOLLOTYRE,09-Jun-2025,472.39,464211,44.46,472.45,23950,1044101,4932.24,219288634.29
APOLSINHOT,09-Jun-2025,1282.83,2007,65.04,1280.5,429,3086,39.59,2574639.81
APTUS,09-Jun-2025,325.55,3586262,57.39,328.4,110921,6249316,20344.65,1167507594.1000001
ARCHIDPLY,09-Jun-2025,105.58,47032,58.73,107.59,1404,80088,84.56,4965638.56
ARCHIES,09-Jun-2025,20.49,19228,72.07,20.34,303,26679,5.47,393981.72
ARE&M,09-Jun-2025,1010.03,245033,53.26,1011.3,23705,460075,4646.89,247490680.98999998
ARENTERP,09-Jun-2025,48.57,1329,62.34,49.22,123,2132,1.04,64549.53
ARIES,09-Jun-2025,324.65,21356,49.32,323.15,1871,43304,140.59,6933225.399999999
ARIHANTCAP,09-Jun-2025,74.33,271817,58.18,74.02,5010,467234,347.29,20204157.61
ARIHANTSUP,09-Jun-2025,392.46,19898,35.77,390.5,2331,55627,218.32,7809169.079999999
ARKADE,09-Jun-2025,199.63,1792913,42.37,196.76,43018,4231401,8447.34,357919222.19
ARMANFIN,09-Jun-2025,1619.4,51679,52.01,1648.2,13123,99360,1609.03,83688972.60000001
AROGRANITE,09-Jun-2025,39.96,5033,65.92,39.75,274,7635,3.05,201118.68
ARTEMISMED,09-Jun-2025,265.12,71973,62.34,263.4,5983,115459,306.1,19081481.76
