SYMBOL,DATE1,AVG_PRICE,DELIV_QTY,DELIV_PER,CLOSE_PRICE,NO_OF_TRADES,TTL_TRD_QNTY,TURNOVER_LACS,amount
20MICRONS,30-May-2025,226.49,40821,55.34,225.84,2190,73770,167.08,9245548.290000001
21STCENMGM,30-May-2025,71.05,3180,100.00,71.02,61,3180,2.26,225939.0
360ONE,30-May-2025,1002.74,956229,75.10,997.45,38734,1273280,12767.64,958849067.46
3IINFOLTD,30-May-2025,24.9,133779,45.78,24.83,1634,292226,72.76,3331097.0999999996
3MINDIA,30-May-2025,29144.9,2012,50.30,29275.0,2240,4000,1165.8,58639538.800000004
3PLAND,30-May-2025,48.27,5613,64.91,48.44,426,8647,4.17,270939.51
5PAISA,30-May-2025,410.37,12407,57.37,410.95,1554,21626,88.75,5091460.59
63MOONS,30-May-2025,853.01,124017,42.08,855.45,6829,294716,2513.95,105787741.17
AAATECH,30-May-2025,87.45,61496,59.38,87.9,2505,103568,90.57,5377825.2
AADHARHFC,30-May-2025,440.98,327834,49.64,444.25,21204,660475,2912.55,144568237.32
AAKASH,30-May-2025,8.29,49062,77.31,8.29,320,63462,5.26,406723.98
AARON,30-May-2025,387.73,10568,57.05,385.75,1400,18523,71.82,4097530.64
AARTECH,30-May-2025,57.39,20148,52.80,57.72,1226,38160,21.9,1156293.72
AARTIDRUGS,30-May-2025,446.89,855209,67.04,443.85,38154,1275664,5700.81,382184350.01
AARTIIND,30-May-2025,471.98,333319,36.34,469.25,16625,917138,4328.75,157319901.62
AARTIPHARM,30-May-2025,904.99,205935,51.41,911.0,22317,400584,3625.23,186369115.65
AARVI,30-May-2025,119.5,2171,30.79,118.91,1162,7050,8.42,259434.5
AAVAS,30-May-2025,1833.0,143261,68.40,1843.4,18320,209436,3838.97,262597413.0
ABAN,30-May-2025,48.21,172568,56.18,47.08,4947,307157,148.08,8319503.28
ABB,30-May-2025,6011.05,177442,59.90,5971.0,36531,296253,17807.92,1066612734.1
ABBOTINDIA,30-May-2025,30381.79,2102,59.55,30455.0,1401,3530,1072.48,63862522.58
ABCAPITAL,30-May-2025,221.93,937061,34.78,222.51,21916,2694513,5979.85,207961947.73000002
ABDL,30-May-2025,398.16,140304,63.38,399.7,5816,221386,881.46,55863440.64
ABFRL,30-May-2025,86.21,6016334,55.68,85.85,89787,10804809,9315.32,518668154.14
ABGSEC,30-May-2025,111.01,1809,94.42,111.0,71,1916,2.13,200817.09
ABMINTLLTD,30-May-2025,47.78,191,41.34,48.13,16,462,0.22,9125.98
ABREL,30-May-2025,2207.73,95390,54.97,2178.2,17549,173528,3831.03,210595364.7
ABSLAMC,30-May-2025,747.56,332727,62.20,747.05,23458,534903,3998.73,248733396.11999997
ABSLBANETF,30-May-2025,56.5,17941,82.96,56.54,198,21625,12.22,1013666.5
ABSLLIQUID,30-May-2025,1000.0,1124,54.88,1000.0,17,2048,20.48,1124000.0
ABSLNN50ET,30-May-2025,69.52,10136,76.83,69.54,283,13193,9.17,704654.72
ABSLPSE,30-May-2025,10.08,293074,90.46,10.06,670,323990,32.66,2954185.92
ACC,30-May-2025,1891.81,225183,56.86,1882.8,37173,396044,7492.4,426003451.22999996
ACCELYA,30-May-2025,1397.46,4266,47.78,1396.4,1579,8929,124.78,5961564.36
ACCURACY,30-May-2025,8.63,123928,67.03,8.54,861,184872,15.95,1069498.6400000001
ACE,30-May-2025,1253.41,96387,51.37,1248.7,12363,187630,2351.77,120812429.67
