SYMBOL,DATE1,AVG_PRICE,DELIV_QTY,DELIV_PER,CLOSE_PRICE,NO_OF_TRADES,TTL_TRD_QNTY,TURNOVER_LACS,amount
20MICRONS,13-Jun-2025,224.17,52671,46.94,224.69,3176,112205,251.53,11807258.069999998
21STCENMGM,13-Jun-2025,65.12,2560,67.10,64.96,137,3815,2.48,166707.2
360ONE,13-Jun-2025,1116.54,1282757,50.54,1140.5,101244,2538226,28340.31,1432249500.78
3IINFOLTD,13-Jun-2025,25.54,259775,49.49,25.51,2588,524923,134.07,6634653.5
3MINDIA,13-Jun-2025,29141.84,1461,49.58,29145.0,2262,2947,858.81,42576228.24
3PLAND,13-Jun-2025,52.9,14657,42.95,52.97,857,34126,18.05,775355.2999999999
5PAISA,13-Jun-2025,404.51,16731,44.39,404.3,3485,37691,152.46,6767856.81
63MOONS,13-Jun-2025,920.86,234745,43.24,923.75,17757,542938,4999.69,216167280.70000002
AAATECH,13-Jun-2025,87.84,11512,62.59,87.41,811,18393,16.16,1011214.0800000001
AADHARHFC,13-Jun-2025,436.39,163032,57.29,437.8,11834,284552,1241.76,71145534.48
AAKASH,13-Jun-2025,8.54,120273,47.89,8.42,924,251153,21.44,1027131.4199999999
AARON,13-Jun-2025,388.95,4896,53.02,398.5,814,9235,35.92,1904299.2
AARTECH,13-Jun-2025,71.06,123168,39.02,72.13,3728,315653,224.29,8752318.08
AARTIDRUGS,13-Jun-2025,464.7,83001,40.95,463.75,13648,202711,942.0,38570564.699999996
AARTIIND,13-Jun-2025,462.6,441747,35.30,462.1,22826,1251376,5788.89,204352162.20000002
AARTIPHARM,13-Jun-2025,897.04,140884,51.17,885.65,24107,275301,2469.57,126378583.36
AARVI,13-Jun-2025,110.57,4759,64.42,109.87,298,7387,8.17,526202.63
AAVAS,13-Jun-2025,1825.6,22695,39.74,1850.5,11543,57113,1042.65,41431992.0
ABAN,13-Jun-2025,55.32,111166,45.71,54.74,2733,243218,134.54,6149703.12
ABB,13-Jun-2025,5956.93,112575,51.09,5999.0,22099,220342,13125.62,670601394.75
ABBOTINDIA,13-Jun-2025,31352.22,3265,56.38,31515.0,2188,5791,1815.61,102364998.3
ABCAPITAL,13-Jun-2025,239.71,3093007,46.73,240.37,110905,6619068,15866.27,741424707.97
ABDL,13-Jun-2025,420.91,274812,42.66,423.35,16772,644246,2711.69,115671118.92
